Model,2021-01-04T00:00:00.000Z,2021-01-11T00:00:00.000Z,2021-01-18T00:00:00.000Z,2021-01-25T00:00:00.000Z,2021-02-01T00:00:00.000Z,2021-02-08T00:00:00.000Z,2021-02-15T00:00:00.000Z,2021-02-22T00:00:00.000Z,2021-03-01T00:00:00.000Z,2021-03-08T00:00:00.000Z,2021-03-15T00:00:00.000Z,2021-03-22T00:00:00.000Z,2021-03-29T00:00:00.000Z,2021-04-05T00:00:00.000Z,2021-04-12T00:00:00.000Z,2021-04-19T00:00:00.000Z,2021-04-26T00:00:00.000Z,2021-05-03T00:00:00.000Z,2021-05-10T00:00:00.000Z,2021-05-17T00:00:00.000Z,2021-05-24T00:00:00.000Z,2021-05-31T00:00:00.000Z,2021-06-07T00:00:00.000Z,2021-06-14T00:00:00.000Z,2021-06-21T00:00:00.000Z,2021-06-28T00:00:00.000Z,2021-07-05T00:00:00.000Z,2021-07-12T00:00:00.000Z,2021-07-19T00:00:00.000Z,2021-07-26T00:00:00.000Z,2021-08-02T00:00:00.000Z,2021-08-09T00:00:00.000Z,2021-08-16T00:00:00.000Z,2021-08-23T00:00:00.000Z,2021-08-30T00:00:00.000Z,2021-09-06T00:00:00.000Z,2021-09-13T00:00:00.000Z,2021-09-20T00:00:00.000Z,2021-09-27T00:00:00.000Z,2021-10-04T00:00:00.000Z,2021-10-11T00:00:00.000Z,2021-10-18T00:00:00.000Z,2021-10-25T00:00:00.000Z,2021-11-01T00:00:00.000Z,2021-11-08T00:00:00.000Z,2021-11-15T00:00:00.000Z,2021-11-22T00:00:00.000Z,2021-11-29T00:00:00.000Z,2021-12-06T00:00:00.000Z,2021-12-13T00:00:00.000Z,2021-12-20T00:00:00.000Z,2021-12-27T00:00:00.000Z,2022-01-03T00:00:00.000Z,2022-01-10T00:00:00.000Z,2022-01-17T00:00:00.000Z,2022-01-24T00:00:00.000Z,2022-01-31T00:00:00.000Z,2022-02-07T00:00:00.000Z,2022-02-14T00:00:00.000Z,2022-02-21T00:00:00.000Z,2022-02-28T00:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
sentence-transformers/all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,583,2005,20276,16822,24066,138684,52581,618613,1528165,87571,134396,182277,1294,102884,89653,66086,729679,128293,230615,123640,98940,916117,792727,208936,327622,439953,344973,441835,716790,470255,395135,799560,843219,629631,222797,408109,438076,419796,443739,387578,676707,420980,0,444274,514430,433725,447176,463864,1024762,1338218,583825,610924,743296,649656,861581
cross-encoder/ms-marco-MiniLM-L-12-v2,,,,,,,,,,,,,,,57,109,97,468,625,388,79,138,393,281,357,350,529,571,842,748,818,719,742,511,433,443,267,411,340,623,731,1508,613,550,540,777,1434,5,1541,3779,15956,36689,11132,9725,12266,70609,244433,741114,330934,373093,384422,397736,382277,395208,241246,374361,406453,463872,117408,5771,60515,58180,42200,45955,44603,20020,15756,142707,192172,216459,73032,17120,9952,7017,5851,2786,5444,5069,4452,4946
sentence-transformers/paraphrase-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,54,66,25,112,120,509,1364,2397,4112,8030,3952,2385,3667,6881,13971,7481,6722,4308,4502,6951,14398,18097,11720,271024,95538,183498,464540,318209,21632,285229,42489,20479,31608,422764,397027,353510,191032,603612,648259,630951,653138,411109,457483,423907,430767,445033,405008,430004,477752,453208,476121,432944,428533,461886,452759,388759,521551,533408,0,441248,402374,436403,447811,458215,475767,485665,191292,350242,680866,532031,472866
sentence-transformers/all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,1053,1403,3104,11994,37892,28697,18064,36636,67053,20783,43181,67407,630,51977,25051,36930,36199,182843,79854,100329,20593,68062,60852,162479,99632,135105,96223,95226,77192,110363,115173,92879,119793,198425,108335,178484,124129,175085,139526,94044,231055,182989,0,85058,153759,392324,284994,85245,281344,159160,38655,52922,148494,76351,138279
sentence-transformers/paraphrase-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,8,13,204,3269,6456,3305,4492,4922,5306,4712,6472,4617,8445,20320,29781,6855,4041,6553,9931,13226,10208,47253,67921,35917,275544,212459,262736,253478,1369,200464,109360,128914,93483,97590,74809,36533,60801,68511,103584,68861,59746,58599,64063,65892,57262,47770,74058,72226,68809,54378,58856,72572,67293,77374,51261,41011,60275,43297,0,42968,39047,53772,50970,41943,70655,55782,13361,39750,59090,64875,73637
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,,,,,,,,,,,,,,,,,,,,,,5,249,311,631,400,401,386,366,889,497,658,633,662,10103,2877,1628,992,1836,3837,23303,75730,10587,38591,60208,2619458,1297922,119128,72212,51406,52424,31771,50258,46813,51946,21020,44215,76529,52046,58847,67315,60530,76098,86080,90023,72181,50517,70100,80417,68089,94012,82757,105739,162180,117106,152588,140612,0,46638,70383,73150,84451,47964,51067,62078,26532,44010,82000,70143,49342
klue/bert-base,,,,,,,,,,,,,,,,,,,,,1,315,1332,511,736,1243,569,522,989,3730,1143,782,482,185,452,544,942,763,3673,1760,2393,4344,4504,2828,1024,1408,1258,3,2455,1318,1127,402,882,822,671,290,750,3598,1449,1037,5535,1044,1944,3100,4605,34873,58521,62910,62261,59286,61886,58917,60500,55695,45147,60195,45026,0,54938,59050,59414,66217,65347,57965,55611,19732,40351,79730,60643,52525
facebook/wav2vec2-base-960h,,,,10,480,4017,5627,4890,17169,5420,6948,17934,9089,6686,8964,19508,8494,10014,16892,11771,7977,15457,11550,13946,8052,5897,22431,14010,5023,6232,14235,16372,14573,7543,9185,33370,8680,20007,22507,29254,29595,32813,40596,24551,17786,27997,20118,142,16145,21757,10243,15345,19628,32079,41338,16809,40350,27248,38765,232621,263475,185403,39099,34719,35404,38127,45196,79072,40063,47418,37797,33152,20998,17073,40971,14339,21110,16290,65361,68592,150503,26049,22722,33057,44142,24319,39074,32254,21883,21076
flair/ner-english-large,,,,,,,,,176,391,384,342,347,270,414,522,391,516,677,759,388,1285,1265,1110,6346,1070,1571,5643,1249,1632,1136,1826,1982,1660,1579,1158,3110,7890,10556,17695,10106,6502,10662,8843,8021,7159,11351,57,15419,11200,9590,6403,8718,9614,8525,20891,17671,14845,14907,22794,15049,19500,20016,25971,20363,19670,21921,18656,19462,20325,20292,21264,42922,48368,272555,153161,52073,0,62197,81007,84355,68126,66476,60430,52053,25391,35811,81248,94785,84175
openai/clip-vit-base-patch32,,,,,,,,,,,,,,,,,,,185,484,29,415,992,1198,2853,4457,3832,3291,2641,4061,3253,5072,5288,4528,2917,3711,11299,8946,5267,4710,6990,9706,16467,23736,30893,20771,11345,40,18328,15028,8639,16024,11084,14364,6247,3584,8016,14122,14885,39976,25326,13380,21989,13783,128742,86647,35076,15902,19613,21031,19432,27508,1001903,653849,680263,560395,31343,0,35157,40269,45703,58642,41894,44125,54157,17869,37064,61640,534773,157969
