Model,2022-01-03T00:00:00.000Z,2022-01-10T00:00:00.000Z,2022-01-17T00:00:00.000Z,2022-01-24T00:00:00.000Z,2022-01-31T00:00:00.000Z,2022-02-07T00:00:00.000Z,2022-02-14T00:00:00.000Z,2022-02-21T00:00:00.000Z,2022-02-28T00:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
openai/clip-vit-large-patch14,,,,21,306,990,1010,84,136,353,271,172,449,511,2276,1477,254,508,25810,13689,334,33012,54161,75747,74735,0,92466,97338,121366,94118,80513,98373,424682,593673,1614276,4331717,2785486,2100070
facebook/contriever-msmarco,,,34,4,245,28,1,63,198,205,261,56,9,87,1007,138,542,2764,1154,18,1432,1252,158,55,87,28,411,620,810,102,225,2467,2770,7429,168383,414923,263692,4657
Jean-Baptiste/roberta-large-ner-english,41,1837,1739,77,479,9062,3195,3342,8936,7964,7391,13966,24522,33736,32274,14788,13364,7672,3728,8828,10419,10434,11421,12481,12510,9578,9337,9026,10616,11504,8946,9450,5169,11837,100841,29375,7987,10158
cardiffnlp/twitter-roberta-base-sentiment-latest,,,,,,,,,,,1505,10250,5293,8161,3436,16312,5023,3605,8442,14851,12210,77229,42218,10010,41892,13000,5965,7631,12228,24378,8138,7477,74059,17519,4923,26720,28949,4858
shibing624/text2vec-base-chinese,,,13,59,46,105,416,40573,331,497,1080,1636,6914,2164,103951,8943,5733,1216,1610,1357,1170,7556,889,1280,949,0,1788,1112,102439,129966,155622,131195,135318,82267,97704,43175,20217,51005
ml6team/bert-base-uncased-city-country-ner,,,48,58,29,10,17,5,1,14,46,6,11,47,46,46,22,26,58,36,7569,7708,6351,8831,6797,0,8542,8941,8948,9028,3210,13034,14450,5263,11265,13908,17269,8927
Hate-speech-CNERG/indic-abusive-allInOne-MuRIL,,,,,,,,,,,,,,,,7,16,6,5,11,0,0,32,22,37,6,6,22,227003,268880,276812,277469,277275,276356,180032,368310,277523,235975
EColi/SB_Classifier,,,,,,,,,,,,,,,,50,22,3,8,138,103,326,220,327,263,273,369,2209,22615,27817,11749,9376,7562,12055,571,999,299,59
rinna/japanese-gpt-1b,,,36,802,3541,3097,2981,3344,2339,3655,1689,2388,2036,2574,2045,4646,1941,3205,1941,1998,2441,1750,2740,3336,2881,0,3231,3384,3299,15963,3116,3098,3373,1872,1117,2240,1657,1278
KoboldAI/fairseq-dense-13B-Shinen,,,,,,,,,,,,,,,122,236,310,310,2774,3905,3461,5723,16693,19033,22286,21478,18530,20631,21330,21009,21148,22758,25595,24225,15986,27943,14776,13508
nlpconnect/vit-gpt2-image-captioning,15,12,41,12,154,98,60,81,271,123,37,98,43,147,200,250,179,216,628,210,911,477,350,4650,6192,0,12049,9736,5791,5037,5381,4579,5026,1993,4356,15189,12723,11009
cmarkea/distilcamembert-base-sentiment,,132,414,42,119,974,2807,10615,3707,2329,2205,2163,2142,2493,2075,1365,1699,1359,5354,7677,7420,6901,6425,6032,4730,7318,2334,2600,2145,1319,182,116,179,88,367,336,143,50
dangvantuan/sentence-camembert-large,,,,,,,127,209,51,152,42,115,281,219,43,42,96,280,682,154,176,127,126,76,11141,16293,8640,141,486,455,517,4116,16364,5809,376,8979,3365,625
viktor-enzell/wav2vec2-large-voxrex-swedish-4gram,,,,,,,,,,,,,,,,,,,,,,255,48,301,145,0,170,186,25098,49583,49239,50121,50044,18826,24221,145,24,35
prithivida/parrot_adequacy_model,,,,,,,,,,,,,,,,,,,,,413,1515,1653,5578,2076,0,2253,1741,2997,5271,6305,3413,4127,1871,3262,6404,9139,3548
facebook/nllb-200-distilled-600M,,,,,,,,,,,,,,,,,,,,,,,,,,,,573,3079,23203,11972,3233,37946,20669,5356,1832,3122,8204
microsoft/layoutlmv3-base,,,,,,,,,,,,,,,,188,560,558,902,1506,2237,1403,1666,2033,3561,0,3259,4951,5068,4997,5323,5065,3970,1830,2085,3269,4061,2772
deepparag/Aeona,,,11876,8554,21740,28607,16227,13584,20713,27688,29450,59518,44386,13915,13582,3720,2036,2952,3816,4289,40646,39208,25285,126079,5663,15863,81625,4456,41174,14276,1368,1001,1429,938,1948,2815,1387,209
facebook/opt-125m,,,,,,,,,,,,,,,,,,,2003,2563,1797,1819,2108,3661,2447,1696,2305,3179,3627,1828,4611,4074,3822,2106,4244,10455,4832,4163
kha-white/manga-ocr-base,,,293,173,459,417,461,267,269,341,465,659,610,596,987,1021,1177,1750,1395,1158,1185,1043,952,1350,1304,0,1391,1636,1503,3198,3772,3421,2199,647,930,2395,1887,1694
facebook/opt-350m,,,,,,,,,,,,,,,,,,,800,2111,1789,2362,1757,4831,4743,2057,2889,3646,3382,4218,6040,3445,2862,1139,2635,5664,4451,8024
microsoft/swin-tiny-patch4-window7-224,,,12,89,105,217,200,260,312,705,816,619,556,1389,1676,415749,2498,2568,2093,2033,878,1089,1293,59336,1024,0,4502,3593,6144,1401,1599,2105,1394,695,1236,3161,1842,929
prithivida/parrot_fluency_model,,,,,,,,,,,,,,,,,,,,,317,1280,1443,5272,2006,0,1398,1175,1920,2068,4944,2070,2799,1425,2368,4206,7799,2322
sentence-transformers/sentence-t5-base,,,,,,242,342,277,340,2139,1854,3204,1005,3239,3266,6062,4808,808,1119,1805,1324,980,1264,2766,2183,0,1036,1287,1079,1362,4836,1874,1745,819,770,1834,1078,1337
KoboldAI/fairseq-dense-13B-Nerys-v2,,,,,,,,,,,,,,,,,,,,,,,,,5247,16114,13983,12219,11551,13427,13121,12139,14416,12971,8228,13798,9222,1328
deepset/tinyroberta-squad2,,,,,,,156,147,180,121,180,199,460,853,2719,908,2494,1546,8203,2389,1607,1272,1676,1400,1749,795,1582,2213,1202,3289,5421,2084,1591,877,1515,1951,3441,4618
facebook/opt-1.3b,,,,,,,,,,,,,,,,,,,1334,2110,1513,3408,1832,1340,1501,1336,3743,5244,4040,3661,7447,5943,6063,5756,1656,3096,2059,4581
inokufu/flaubert-base-uncased-xnli-sts,,,,,,,13,11,7,45,35,146,822,1074,1322,1086,1110,1211,1348,854,1097,1215,1110,1310,985,0,1023,1030,1063,1025,1061,1066,1112,421,712,1516,1102,922
openclimatefix/nowcasting_cnn_v4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,2290,3522,3436,1230,1949,4522,3490,2399
microsoft/swin-base-patch4-window7-224-in22k,,,,1,27,1269,56,306,96,100,3,34,15,36,10,32,74,58,184,193,55,87,62,108,54,0,74,20593,483,602,4671,6385,10809,7805,11942,5083,2977,1852
philschmid/BERT-Banking77,622,40,428,28,595,1194,1063,1063,715,1061,400,346,36,35,387,576,1068,1086,1086,758,423,963,607,334,805,0,638,496,272,561,1025,1077,1043,399,732,635,1085,907
Filosofas/DialoGPT-medium-PALPATINE,,396,51,12,17,850,2487,1928,2117,2893,2343,2076,3458,2569,627,1466,1024,651,2215,1697,1660,1786,3370,11641,1179,1711,4885,788,5110,636,555,572,552,673,349,519,338,47
microsoft/unixcoder-base,,,,,,,,,,,,32,180,219,285,736,406,593,625,1543,1727,783,1139,2329,891,0,836,990,1401,1332,1184,1359,1851,1195,1442,1682,1642,963
sbcBI/sentiment_analysis_model,,,,,,,,,,,,,,,,,,370,687,787,699,636,599,1103,1040,0,1316,1390,1362,1381,1366,1425,1387,525,938,1879,1418,2623
facebook/opt-2.7b,,,,,,,,,,,,,,,,,,,748,708,558,1212,311,1345,1460,540,1138,1838,2160,918,3834,1483,1072,513,916,1727,2955,3526
Zixtrauce/JohnBot,1086,942,807,405,1006,1292,1081,825,973,727,860,789,595,721,750,856,951,703,783,859,1833,1102,1003,538,572,639,1372,1106,2810,1435,900,1115,1225,1147,335,759,453,39
KB/bert-base-swedish-cased-ner,218,696,2140,1194,1398,1223,582,252,489,358,292,473,269,246,133,121,440,104,207,223,249,536,644,837,796,716,752,544,639,705,1308,1211,1018,1073,655,699,663,591
zenham/wail_m_e4_16h_2k,,,,,,,,,,1145,3762,2582,2161,973,918,1043,893,685,704,982,1709,1009,697,824,611,0,2029,1210,2121,1445,1326,1062,1007,168,355,483,222,36
KB/bert-base-swedish-cased,246,507,457,340,445,823,992,808,1015,966,691,887,1149,764,1303,1057,1032,1178,1441,949,495,613,541,512,492,913,346,1052,108,224,83,74,107,332,1713,335,133,179
TahaDouaji/detr-doc-table-detection,,,,,,,,,,41,1117,242,111,313,134,77,311,381,292,265,271,154,138,483,322,146,418,4992,1133,2462,2973,2755,2275,9829,3263,7418,2752,2151
sberbank-ai/mGPT,,,,,,,,,,,,,,,,1593,2117,1556,1251,1187,1012,671,852,905,665,0,943,865,783,671,1196,1426,1254,444,1073,1436,934,8601
facebook/vit-mae-base,,,39,43,130,125,81,74,324,532,389,824,783,1006,847,397,978,561,332,587,536,344,395,360,686,756,826,1159,1158,899,1889,2293,1182,309,1061,1336,928,787
microsoft/unixcoder-base-nine,,,,,,,,,,,,,4,6,14936,22464,6,104,762,272,138,143,154,702,468,0,2101,1597,719,1863,2231,3666,859,1003,744,1599,1670,1030
microsoft/resnet-50,,,,,,,,,,20,47,100,56,76,57,129,193,99,659,654,910,1065,449,858,587,0,6021,2278,1044,1219,715,758,1076,298,1050,942,34139,23631
esiebomajeremiah/autonlp-email-classification-657119381,,,,,,,,,,,,714,1006,832,335,191,471,537,825,1030,1227,7448,5536,654,727,1179,2650,937,2964,1381,552,139,394,172,130,336,319,51
BM-K/KoSimCSE-roberta-multitask,,,,,,,,,,,,,,,,,,,,,,23,67,111,127,94,156,179,4316,5921,3695,313,224,233,201,224,410,417
hustvl/yolos-tiny,,,,,,,,,,,,,,,,,2,50,50,43,48,6,249,8718,2717,0,3306,3691,4171,5889,6628,8695,4806,1982,6091,7732,3986,3777
facebook/data2vec-audio-base-960h,,,,,,,,58,328,1465,810,792,1058,542,680,769,936,1007,1267,909,849,586,632,673,670,560,475,491,500,422,2541,335,226,184,414,873,614,299
facebook/convnext-tiny-224,,,,,12,153,184,74,405,206,359,503,1085,567,308,415,306,151,264,387,276,219,155,271,991,1010,1425,1032,1229,1226,867,1091,998,430,624,881,995,980
bigscience/bloom-560m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2754,3697,1227,1478,2976,2112,10125
Zixtrauce/BDBot4Epoch,574,737,541,235,662,1276,595,370,411,510,496,190,288,451,368,365,399,402,327,431,1284,736,811,419,416,448,687,1081,1886,1176,815,761,807,771,346,466,327,40
facebook/incoder-1B,,,,,,,,,,,,,,61,1467,1468,3156,837,1062,1052,1014,1290,1638,337,508,548,854,715,1373,1218,1075,805,1185,609,357,629,1102,715
bigscience/bloom-1b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178,1662,448,1334,1422,10113,3571
KoboldAI/fairseq-dense-13B-Janeway,,,,,,,,,,,,,,28,161,167,185,189,2339,1755,1242,930,1791,2250,3040,2631,2767,2796,2460,3076,2810,3382,3327,3268,1948,4118,2924,2051
Salesforce/codegen-2B-multi,,,,,,,,,,,,,,,,,,,,,4,0,0,4,8,150,78,99,88,238,281,829,3117,4743,3088,4422,605,347
yikuan8/Clinical-Longformer,,,,,67,90,155,311,247,177,380,172,363,346,164,157,397,956,325,157,200,317,177,46,421,0,612,865,618,564,1103,879,556,368,1956,1778,201,127
michiyasunaga/BioLinkBERT-base,,,,,,,,,,,2,0,615,98,434,380,481,601,654,750,1068,1404,385,691,714,0,555,626,381,912,616,904,1111,448,330,793,261,758
Salesforce/codegen-350M-mono,,,,,,,,,,,,,,,,,,,,,6,41,5,7,153,1059,1496,540,602,1161,1791,8516,5494,2256,2351,4331,2159,975
facebook/mgenre-wiki,,,,,,,,,,,,,,,,,,,,,,,61,103,234,124,666,853,1023,929,1033,1019,1053,394,751,1430,1061,885
CompVis/ldm-text2im-large-256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,1012,614,757,1005,3049,1684,1166,529,502
KoboldAI/GPT-J-6B-Shinen,,,,,,,,11,34,46,72,33,30,68,57,74,50,86,65,75,188,927,2547,2031,3217,2556,2113,1966,2320,2699,2420,2470,2811,2598,1427,2831,2100,1562
allenai/tk-instruct-3b-def-pos,,,,,,,,,,,,,,,,,,8,14,79,90,55,43,490,404,255,3646,1819,3334,1505,2287,5768,11116,1968,7948,546,1539,555
philschmid/distilbert-base-multilingual-cased-sentiment-2,,,,10,8,5,24,14,11,24,18,2,20,75,32,23,44,114,315,380,276,115,81,76,58,0,167,201,213,180,685,2245,2580,241,749,1292,119,215
ltgoslo/norbert2,,,,,,56,96,413,411,274,517,448,371,882,171,809,640,1231,612,554,195,150,100,100,157,0,398,327,79,277,218,196,127,44,194,116,88,96
RajSang/pegasus-sports-titles,,3,0,5,0,19,5,13,0,30,10,27,29,349,409,343,394,712,726,604,308,513,634,614,675,91,14,539,365,339,323,290,205,521,615,747,368,543
M-CLIP/XLM-Roberta-Large-Vit-B-32,,,,,,,,,,,,,,,,,,,,,,21,44,132,365,217,154,683,535,422,605,518,2149,2280,147,432,455,354
naver/splade-cocondenser-ensembledistil,,,,,,,,,,,,,,,,,,,135,37,57,93,147,343,452,0,2366,5462,2802,3536,1810,3282,1852,954,507,1405,1131,502
DB13067/Peterbot,,,,,,,,,,,259,152,123,194,149,164,159,92,132,203,1284,1658,913,895,426,1316,1267,688,132,1349,1267,1202,1010,825,88,215,136,29
aatmasidha/distilbert-base-uncased-finetuned-emotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,10224,8444,10335,10886,32443,1586,3450,2008,22,1
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,13,13,4,24,3,2,205,12,46,120,805,1153,926,3805,18109,458,1046
microsoft/swin-base-patch4-window7-224,,,,,10,62,40,70,318,2590,69,235,90,39,176,99,726,1342,750,951,205,314,181,850,835,0,373,429,526,389,346,506,1679,171,454,394,359,221
Babelscape/wikineural-multilingual-ner,,,,,172,148,155,94,169,204,163,122,139,162,441,323,243,225,212,242,906,204,349,322,1264,304,225,174,3723,403,240,656,394,233,635,304,1087,266
TheGoldenToaster/DialoGPT-medium-Bot,,,,,,,,,,,,,107,188,170,233,197,107,122,210,818,675,847,1156,1546,1025,1315,1128,830,1330,1268,852,1206,856,95,191,130,43
ml6team/keyphrase-extraction-kbir-inspec,,,,,,,,,,,,,,,,,,,,,27,193,118,177,190,0,333,372,485,722,358,535,3499,469,1837,2247,2316,549
Salesforce/codet5-large,,,,,,,,,,,,,,,,,,,,,,,,,,,143,85,145,334,689,192,618,199,278,1343,5440,2552
Prime2911/DialoGPT-medium-handsomejack,,,,,,,,,,62,77,46,77,105,35,63,92,87,72,96,647,1711,1277,128,24,863,1522,28,158,1427,1014,1204,1312,945,131,215,121,34
hf-internal-testing/tiny-random-beit-pipeline,,,,,,,80,126,192,229,294,470,346,335,336,345,288,343,537,744,544,433,574,296,255,0,237,159,204,250,286,296,188,72,177,182,198,171
MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,,,,,,,,,,,,,,,,,,,,,,,308,541,602,384,1025,168,310,527,756,3423,3132,1391,749,997,731,275
AmbricJohnson5888/death,,,,,,,,,,,,,,54,62,124,179,127,91,135,1374,620,1281,1039,1419,858,1304,1027,160,1324,993,984,786,847,95,217,115,36
facebook/flava-full,,,,,,,,,,,,,,,,,,9,120,157,1283,346,388,2304,819,656,697,598,830,920,851,921,1164,368,611,328,404,1316
wietsedv/xlm-roberta-base-ft-udpos28-tr,,,,,,,,3,0,35,7,58,358,224,10314,6521,207,9,244,21,10,7,0,0,4,0,2,52,8,3,15,0,47,1,1,45,5071,1821
IDEA-CCNL/Erlangshen-Roberta-110M-Sentiment,,,,,,,,,,,,,,,,60,44,111,3505,574,393,592,545,95,80,106,153,54,60,466,283,20663,391,241,221,310,157,183
google/long-t5-tglobal-base,,,,,,,,,,,,,,,,,,,,,,,,211,421,0,324,666,975,749,889,767,871,527,906,886,1111,927
AmbricJohnson5888/claura,,,,,,,,,,,,,,16,69,146,172,94,107,171,1085,1414,790,872,443,1573,1599,106,125,1354,970,1217,739,789,112,195,107,32
yiyanghkust/finbert-esg,,,,,,,,,,,,,,,,,,,11,79,658,355,5812,3243,187,0,1441,425,274,317,429,513,152,103,154,528,228,527
DeepPavlov/distilrubert-tiny-cased-conversational-v1,,,,119,106,337,271,173,107,31,19,61,14,19,188,721,402,911,176,714,161,102,276,53,974,549,690,847,1093,408,300,299,234,564,362,460,349,36
j-hartmann/sentiment-roberta-large-english-3-classes,,69,37,22,104,128,117,111,70,232,72,160,79,157,152,359,148,541,309,306,245,191,262,106,508,0,2083,230,295,302,693,500,357,82,429,247,318,279
microsoft/dit-base-finetuned-rvlcdip,,,,,,,,,,92,96,117,84,145,120,104,251,275,256,342,549,184,7637,269,213,0,811,534,1062,530,251,247,189,78,4210,3269,2902,205
bigscience/bigscience-small-testing,,,,,,,,,,,,,,,,80,33,48,114,141,243,338,378,1058,1334,1142,1394,980,1609,1917,1265,958,206,70,244,293,248,259
bigscience/bloom-7b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687,1886,690,893,1249,777,745
allenai/PRIMERA,,,,,,,,,,45,99,117,160,128,63,155,384,123,156,246,156,154,115,328,461,348,94,331,567,517,354,510,377,245,174,403,338,745
