Model,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z
bert-base-chinese,63403,696416,450475,824087,853814,678126,393718,640096,785309,999236,717146,919186,1152576,761657,891794,510999,434498
distilbert-base-uncased-finetuned-sst-2-english,106753,4297273,3777122,2482557,2562038,2528152,2229095,2594423,1908363,1104895,1326610,1294116,1146252,1356520,1298714,1120664,633477
xlm-roberta-large-finetuned-conll03-english,2065,22367,207497,163634,588274,400248,414774,656600,472853,0,1055562,1017792,615278,184229,81628,62363,81217
t5-small,17066,263953,293441,264512,210374,213469,189620,565070,186178,0,440657,511863,459114,355947,417571,538842,287296
t5-base,15134,179728,226781,349218,182725,129367,206642,234621,229622,0,263116,236274,442182,482490,557756,536205,279546
distilbert-base-multilingual-cased,4193,83307,179347,190696,150184,147244,116665,1544860,1218689,119103,134484,175581,122172,117849,114865,213095,145399
camembert-base,15180,152636,130486,109706,93272,94702,74601,88402,94957,95258,100779,89472,105668,105068,98772,101853,65466
gpt2-medium,4104,66422,86854,72976,51606,148809,170171,134628,104938,0,220100,117524,108892,89698,97419,97319,106408
distilbert-base-cased,3116,45069,48546,134036,51984,43044,162088,88165,107947,85856,71015,62347,68852,119363,82170,112525,117238
distilroberta-base,63233,491928,354719,328913,118671,186207,57989,101541,78637,44622,48606,40547,2683830,2407379,63711,68710,52747
distilbert-base-cased-distilled-squad,1393,97049,163805,131316,202826,109765,106646,123626,125870,196187,180458,246375,284745,246634,322206,360363,348099
t5-large,3482,42370,191970,261221,61716,30052,33115,71522,55631,0,52134,70927,77660,111043,139210,151730,75192
roberta-large-mnli,10327,135847,466023,122144,153433,90400,102758,79377,25126,0,17428,19532,14461,21435,143730,14847,13119
gpt2-large,14453,185517,104802,58651,45689,22110,43608,129259,102984,0,69401,75753,34759,40509,54509,60395,40643
t5-3b,2037,55592,12543,17006,23479,22572,25509,18997,15331,0,12556,15011,14051,20371,26344,47038,28825
t5-11b,27,992,1018,742,7657,17083,13857,52169,116341,0,54804,45542,14483,32049,15017,18426,12404
distilbert-base-uncased-distilled-squad,292,6327,14217,5719,8183,4574,7192,13901,10624,7633,16417,19472,41229,8910,8776,48011,36932
openai-gpt,4194,33173,44158,39415,30068,20466,19372,27035,30668,0,25577,24836,25075,26337,31519,20797,10836
ctrl,703,6136,9388,7196,4650,3532,3948,3633,4575,4983,3852,2810,3435,3241,4501,4501,2437
roberta-base-openai-detector,26391,206694,143476,88797,229,164,217,295,101,0,47,89,99,168,1427,3235,1089
bert-base-cased-finetuned-mrpc,261,3749,3992,3836,5909,3451,5815,4510,7313,4528,3923,4458,4742,6806,5760,3642,3573
transfo-xl-wt103,396,4599,7784,7893,4732,3645,3675,4703,4101,0,4351,3759,4047,3513,5089,6941,2538
xlm-mlm-en-2048,659,7385,13201,11511,7266,5652,5267,6373,5962,0,5661,6758,5682,5105,7734,6287,1337
xlm-clm-ende-1024,1004,9522,9473,9028,8231,8795,7349,4389,4488,0,9674,4744,1059,1828,1638,4893,10098
xlm-roberta-large-finetuned-conll03-german,23,253,533,535,1387,1147,716,1040,631,0,1593,884,1806,912,328,3279,1547
xlm-mlm-100-1280,45,779,2119,1161,1016,405,328,112,288,0,261,387,343,228,1016,2433,581
xlm-mlm-ende-1024,17,689,333,168,291,316,216,262,308,0,1031,315,728,1365,1276,404,568
roberta-large-openai-detector,67,255,753,415,55,70,274,103,195,0,379,135,289,135,780,1735,822
xlm-mlm-enfr-1024,,478,150,197,204,206,121,73,182,0,185,275,111,162,82,162,86
xlm-mlm-tlm-xnli15-1024,24,724,89,133,223,294,101,69,133,0,64,226,143,309,23,69,7
xlm-clm-enfr-1024,,37,46,61,169,76,37,87,32,0,15,39,47,48,16,22,23
xlm-roberta-large-finetuned-conll02-dutch,4,86,99,87,79,92,73,77,52,0,65,34,42,95,103,39,13
xlm-mlm-17-1280,1,15,120,40,46,31,13,58,17,0,97,11,67,25,88,37,16
xlm-mlm-xnli15-1024,6,231,32,23,18,70,16,26,12,0,12,4,72,3,27,25,105
xlm-roberta-large-finetuned-conll02-spanish,1,5,0,3,5,23,6,0,7,0,14,0,7,14,21,2,3
xlm-mlm-enro-1024,,29,0,1,1,12,10,1,12,0,8,4,2,3,13,4,
