Model,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z
distilbert-base-uncased-finetuned-sst-2-english,11784,1527042,1129808,452978,480424,475695,488095,518487,395319,193895,215309,247961,196404,253984,286854,186912,140038
bert-base-chinese,8640,114406,89798,137616,109993,85305,87981,158391,107415,83764,49060,98383,85418,113424,110368,103306,143629
xlm-roberta-large-finetuned-conll03-english,117,1832,58642,53981,131516,122574,137048,211400,138145,0,328453,313194,168432,36407,8821,3223,11582
t5-base,1864,35515,41091,57563,58753,32222,46992,55481,43669,0,68492,67365,120286,126736,133733,102818,60032
t5-small,3171,33428,28114,37817,26374,25105,55819,102801,54122,0,174917,98914,111263,76409,89850,99968,42518
distilroberta-base,10938,125092,111017,107120,38075,58951,13450,23903,18736,16183,17434,10380,10888,12790,16018,12315,13117
gpt2-medium,707,9631,15627,10552,7611,35245,44340,45974,36166,0,75177,39163,38315,35936,35926,35799,36556
camembert-base,2854,29249,14414,13916,12168,11544,9915,13484,14529,20399,17451,21027,26861,28731,11785,24103,11353
distilbert-base-cased-distilled-squad,293,22468,35632,32190,54837,27178,29987,32703,37680,53557,37656,75745,75469,70943,89916,97416,106400
distilbert-base-cased,529,7893,12046,34067,13520,9275,88596,19186,21176,17606,13003,12063,13583,15519,12753,15030,16371
distilbert-base-multilingual-cased,402,9943,58556,75758,48851,44043,30669,26077,15010,19805,10886,16994,23785,18773,24972,69685,48019
t5-large,1106,12271,12730,17067,21626,8012,8585,18966,15970,0,15552,18623,28886,28768,19105,23941,19327
gpt2-large,6421,86315,43073,16769,9775,6547,15976,49111,46692,0,8386,7952,10750,12952,10980,15645,12793
roberta-large-mnli,272,4603,200028,10104,22182,3427,11841,9487,4900,0,3631,4210,2556,5423,35109,2819,2809
distilbert-base-uncased-distilled-squad,85,18915,14948,14721,16656,10946,16550,8931,22772,10031,23546,22451,42632,32969,39387,53436,21424
roberta-base-openai-detector,8789,68803,47821,29575,58,50,45,66,23,0,11,25,30,51,500,643,162
openai-gpt,264,1295,1906,2326,2115,2337,2337,2892,3657,0,2503,2496,2780,3103,3535,2479,2487
t5-3b,52,1671,1851,1856,2752,2056,2512,4872,3021,0,2787,5236,4378,4356,7731,6989,11958
xlm-clm-ende-1024,331,3131,3148,2992,2742,2727,2182,1158,1139,0,2777,1281,8,2,2,1283,3113
bert-base-cased-finetuned-mrpc,71,784,860,860,1893,852,1934,1078,2343,1103,970,1040,1008,1751,1517,911,972
t5-11b,1,263,249,370,1676,5703,4156,10750,21553,0,24739,20341,4850,5129,5458,6276,2884
transfo-xl-wt103,20,357,175,398,196,196,218,470,272,0,355,555,756,440,322,974,294
xlm-mlm-100-1280,5,315,959,409,395,165,189,28,120,0,64,216,68,68,371,738,182
xlm-roberta-large-finetuned-conll03-german,,33,143,129,423,297,203,184,176,0,461,234,570,250,81,1294,575
xlm-mlm-en-2048,42,582,369,252,114,134,174,187,263,0,231,1322,191,287,370,148,93
ctrl,73,535,562,207,89,176,109,99,251,158,138,155,162,266,163,53,236
xlm-mlm-ende-1024,4,404,43,41,69,84,43,60,20,0,320,26,208,216,415,124,61
roberta-large-openai-detector,34,89,240,147,20,25,96,32,64,0,127,44,99,46,75,151,43
xlm-mlm-enfr-1024,,178,44,58,63,25,21,22,34,0,26,68,32,51,35,32,16
xlm-mlm-tlm-xnli15-1024,2,185,15,7,83,101,27,23,44,0,17,122,48,140,2,6,2
xlm-roberta-large-finetuned-conll02-dutch,1,21,27,24,17,22,19,19,12,0,15,8,10,26,22,3,
xlm-clm-enfr-1024,,11,10,21,64,26,14,18,7,0,2,12,7,13,4,6,6
xlm-mlm-17-1280,,3,35,18,9,5,2,16,4,0,34,3,16,8,33,12,5
xlm-mlm-xnli15-1024,1,38,11,6,4,25,10,7,2,0,5,2,26,1,12,6,34
xlm-mlm-enro-1024,,6,0,0,0,3,2,0,2,0,0,0,0,0,3,,
xlm-roberta-large-finetuned-conll02-spanish,,,,,,8,1,0,2,0,2,0,0,1,5,,
