,model_name,init_time,readme_time,init_readme_diff
6131,bert-base-chinese,2018-11-14,Fri Dec 11 22:23:19 2020 +0100,757 days 21:48:11
29282,bert-base-cased,2018-11-14,Fri Dec 11 22:23:16 2020 +0100,757 days 21:48:08
2843,bert-base-uncased,2018-11-14,Fri Dec 11 22:23:40 2020 +0100,757 days 21:48:32
29964,bert-large-uncased,2018-11-14,Wed Jan 13 11:59:27 2021 +0000,790 days 12:24:19
17309,bert-base-multilingual-uncased,2018-11-30,Fri Dec 11 22:23:37 2020 +0100,742 days 07:47:14
11691,bert-base-multilingual-cased,2018-11-30,Fri Dec 11 22:23:33 2020 +0100,742 days 07:47:09
125,bert-large-cased,2018-11-30,Fri Dec 11 22:23:43 2020 +0100,742 days 07:47:20
19095,openai-gpt,2019-01-08,Fri Jul 22 07:57:33 2022 +0000,1290 days 16:17:11
29663,transfo-xl-wt103,2019-02-06,Fri Jul 22 08:06:44 2022 +0000,1261 days 16:55:31
26651,gpt2,2019-02-18,Fri Dec 11 22:25:28 2020 +0100,662 days 10:49:13
13517,baffo32/gpt2-ptmap,2019-02-18,Fri Dec 11 22:25:28 2020 +0100,662 days 10:49:13
29517,model-attribution-challenge/gpt2,2019-02-18,Fri Dec 11 22:25:28 2020 +0100,662 days 10:49:13
26600,gpt2-medium,2019-05-08,Fri Dec 11 22:25:21 2020 +0100,583 days 02:20:19
27284,bert-large-cased-whole-word-masking,2019-06-15,Wed Jan 13 14:02:11 2021 +0000,577 days 16:03:00
21223,bert-large-uncased-whole-word-masking,2019-06-17,Wed Jan 13 13:45:17 2021 +0000,576 days 05:50:13
27549,bert-large-cased-whole-word-masking-finetuned-squad,2019-06-18,Wed Jan 13 13:43:27 2021 +0000,574 days 15:54:01
28075,bert-base-german-cased,2019-06-18,Fri Dec 11 22:23:23 2020 +0100,542 days 12:09:17
937,bert-large-uncased-whole-word-masking-finetuned-squad,2019-06-18,Wed Jan 13 13:40:04 2021 +0000,574 days 23:58:21
7537,xlnet-large-cased,2019-06-21,Thu Sep 16 09:45:20 2021 +0000,817 days 19:31:55
3214,xlm-mlm-en-2048,2019-07-05,Fri Dec 11 22:26:01 2020 +0100,525 days 13:06:57
9779,xlm-mlm-xnli15-1024,2019-07-10,Fri Jul 22 08:10:39 2022 +0000,1107 days 10:48:43
14780,xlm-clm-enfr-1024,2019-07-10,Fri Jul 22 08:06:22 2022 +0000,1107 days 08:38:39
14136,xlm-mlm-enfr-1024,2019-07-10,Fri Jul 22 08:08:19 2022 +0000,1107 days 10:46:35
14435,xlm-mlm-ende-1024,2019-07-10,Fri Jul 22 08:08:01 2022 +0000,1107 days 10:46:17
25636,xlm-mlm-tlm-xnli15-1024,2019-07-10,Fri Jul 22 08:10:34 2022 +0000,1107 days 10:48:40
12895,xlm-mlm-enro-1024,2019-07-10,Fri Jul 22 08:08:35 2022 +0000,1107 days 10:46:49
17638,xlm-clm-ende-1024,2019-07-10,Fri Jul 22 08:04:36 2022 +0000,1107 days 08:36:53
21643,xlnet-base-cased,2019-07-16,Thu Sep 16 09:42:26 2021 +0000,793 days 02:14:59
395,model-attribution-challenge/xlnet-base-cased,2019-07-16,Thu Sep 16 09:42:26 2021 +0000,793 days 02:14:59
19964,roberta-base,2019-08-03,Fri Dec 11 22:25:32 2020 +0100,495 days 23:09:14
18235,roberta-large,2019-08-05,Fri Dec 11 22:25:39 2020 +0100,494 days 20:22:22
14186,roberta-large-mnli,2019-08-05,Fri Dec 11 22:25:36 2020 +0100,494 days 20:22:19
14680,gpt2-large,2019-08-21,Fri Dec 11 22:24:21 2020 +0100,478 days 20:55:45
5904,distilbert-base-uncased,2019-08-28,Fri Dec 11 22:24:10 2020 +0100,471 days 08:52:59
29914,distilbert-base-uncased-distilled-squad,2019-08-28,Fri Dec 11 22:24:04 2020 +0100,471 days 09:17:38
26772,xlm-mlm-100-1280,2019-08-30,Fri Jul 22 08:09:19 2022 +0000,1056 days 17:41:29
11879,xlm-mlm-17-1280,2019-08-31,Fri Jul 22 08:09:41 2022 +0000,1055 days 13:48:02
21919,bert-base-german-dbmdz-uncased,2019-09-25,Fri Dec 11 22:23:29 2020 +0100,443 days 04:33:27
10032,bert-base-german-dbmdz-cased,2019-09-25,Fri Dec 11 22:23:26 2020 +0100,443 days 04:34:47
22234,distilgpt2,2019-10-03,Fri Dec 11 22:24:14 2020 +0100,435 days 07:16:01
14881,model-attribution-challenge/distilgpt2,2019-10-03,Fri Dec 11 22:24:14 2020 +0100,435 days 07:16:01
30204,ctrl,2019-10-09,Fri Jul 22 08:04:22 2022 +0000,1016 days 16:09:53
17561,distilroberta-base,2019-10-17,Fri Dec 11 22:24:18 2020 +0100,421 days 02:11:25
26333,albert-xlarge-v2,2019-11-04,Wed Jan 13 15:33:30 2021 +0000,435 days 23:32:37
22250,albert-base-v2,2019-11-04,Wed Jan 13 14:45:54 2021 +0000,435 days 22:45:02
29320,albert-large-v2,2019-11-04,Wed Jan 13 15:35:47 2021 +0000,435 days 23:34:54
25869,albert-xxlarge-v2,2019-11-04,Fri Dec 11 22:23:13 2020 +0100,403 days 05:22:21
30178,roberta-base-openai-detector,2019-11-06,Fri Jul 22 08:00:35 2022 +0000,988 days 10:48:08
17111,roberta-large-openai-detector,2019-11-06,Fri Jul 22 08:07:41 2022 +0000,988 days 10:44:36
13204,camembert-base,2019-11-16,Fri Dec 11 22:23:47 2020 +0100,391 days 17:06:22
5148,distilbert-base-german-cased,2019-11-19,Fri Dec 11 22:23:57 2020 +0100,388 days 03:07:07
10109,distilbert-base-multilingual-cased,2019-11-25,Fri Dec 11 22:24:01 2020 +0100,382 days 02:01:41
6524,t5-small,2019-12-11,Fri Dec 11 22:25:57 2020 +0100,366 days 08:36:24
15155,dbmdz/bert-base-german-cased,2019-12-11,Fri Dec 11 22:36:37 2020 +0100,366 days 04:24:55
12972,baffo32/t5-base-ptmap,2019-12-12,Fri Dec 11 22:25:50 2020 +0100,365 days 10:48:07
24483,t5-large,2019-12-12,Fri Dec 11 22:25:54 2020 +0100,365 days 10:48:11
19052,t5-base,2019-12-12,Fri Dec 11 22:25:50 2020 +0100,365 days 10:48:07
14800,distilbert-base-uncased-finetuned-sst-2-english,2019-12-13,Fri Dec 11 22:24:07 2020 +0100,364 days 05:53:33
25736,t5-11b,2019-12-13,Fri Dec 11 22:25:43 2020 +0100,364 days 06:01:06
3142,t5-3b,2019-12-13,Fri Dec 11 22:25:46 2020 +0100,364 days 05:16:40
22524,TurkuNLP/bert-base-finnish-uncased-v1,2019-12-16,Fri Dec 11 22:30:41 2020 +0100,360 days 21:44:13
8170,TurkuNLP/bert-base-finnish-cased-v1,2019-12-16,Fri Dec 11 22:30:38 2020 +0100,360 days 21:43:18
10823,xlm-roberta-base,2019-12-18,Fri Dec 11 22:26:06 2020 +0100,358 days 22:48:52
28823,xlm-roberta-large,2019-12-18,Thu Sep 16 09:22:03 2021 +0000,637 days 10:42:45
3423,xlm-roberta-large-finetuned-conll02-spanish,2019-12-19,Fri Jul 22 08:07:22 2022 +0000,945 days 12:07:11
22954,xlm-roberta-large-finetuned-conll03-german,2019-12-19,Fri Dec 11 22:26:10 2020 +0100,358 days 01:15:28
7394,xlm-roberta-large-finetuned-conll02-dutch,2019-12-19,Fri Jul 22 08:07:08 2022 +0000,945 days 11:47:19
18080,xlm-roberta-large-finetuned-conll03-english,2019-12-19,Fri Jul 22 08:04:08 2022 +0000,945 days 16:38:26
