Model,2019-08-05T00:00:00.000Z,2019-08-12T00:00:00.000Z,2019-08-19T00:00:00.000Z,2019-08-26T00:00:00.000Z,2019-09-02T00:00:00.000Z,2019-09-09T00:00:00.000Z,2019-09-16T00:00:00.000Z,2019-09-23T00:00:00.000Z,2019-09-30T00:00:00.000Z,2019-10-07T00:00:00.000Z,2019-10-14T00:00:00.000Z,2019-10-21T00:00:00.000Z,2019-10-28T00:00:00.000Z,2019-11-04T00:00:00.000Z,2019-11-11T00:00:00.000Z,2019-11-18T00:00:00.000Z,2019-11-25T00:00:00.000Z,2019-12-02T00:00:00.000Z,2019-12-09T00:00:00.000Z,2019-12-16T00:00:00.000Z,2019-12-23T00:00:00.000Z,2019-12-30T00:00:00.000Z,2020-01-06T00:00:00.000Z,2020-01-13T00:00:00.000Z,2020-01-20T00:00:00.000Z,2020-01-27T00:00:00.000Z,2020-02-03T00:00:00.000Z,2020-02-10T00:00:00.000Z,2020-02-17T00:00:00.000Z,2020-02-24T00:00:00.000Z,2020-03-02T00:00:00.000Z,2020-03-09T00:00:00.000Z,2020-03-16T00:00:00.000Z,2020-03-23T00:00:00.000Z,2020-03-30T00:00:00.000Z,2020-04-06T00:00:00.000Z,2020-04-13T00:00:00.000Z,2020-04-20T00:00:00.000Z,2020-04-27T00:00:00.000Z,2020-05-04T00:00:00.000Z,2020-05-11T00:00:00.000Z,2020-05-18T00:00:00.000Z,2020-05-25T00:00:00.000Z,2020-06-01T00:00:00.000Z,2020-06-08T00:00:00.000Z,2020-06-15T00:00:00.000Z,2020-06-22T00:00:00.000Z,2020-06-29T00:00:00.000Z,2020-07-06T00:00:00.000Z,2020-07-13T00:00:00.000Z,2020-07-20T00:00:00.000Z,2020-07-27T00:00:00.000Z,2020-08-03T00:00:00.000Z,2020-08-10T00:00:00.000Z,2020-08-17T00:00:00.000Z,2020-08-24T00:00:00.000Z,2020-08-31T00:00:00.000Z,2020-09-07T00:00:00.000Z,2020-09-14T00:00:00.000Z,2020-09-21T00:00:00.000Z,2020-09-28T00:00:00.000Z,2020-10-05T00:00:00.000Z,2020-10-12T00:00:00.000Z,2020-10-19T00:00:00.000Z,2020-10-26T00:00:00.000Z,2020-11-02T00:00:00.000Z,2020-11-09T00:00:00.000Z,2020-11-16T00:00:00.000Z,2020-11-23T00:00:00.000Z,2020-11-30T00:00:00.000Z,2020-12-07T00:00:00.000Z,2020-12-14T00:00:00.000Z,2020-12-21T00:00:00.000Z,2020-12-28T00:00:00.000Z,2021-01-04T00:00:00.000Z,2021-01-11T00:00:00.000Z,2021-01-18T00:00:00.000Z,2021-01-25T00:00:00.000Z,2021-02-01T00:00:00.000Z,2021-02-08T00:00:00.000Z,2021-02-15T00:00:00.000Z,2021-02-22T00:00:00.000Z,2021-03-01T00:00:00.000Z,2021-03-08T00:00:00.000Z,2021-03-15T00:00:00.000Z,2021-03-22T00:00:00.000Z,2021-03-29T00:00:00.000Z,2021-04-05T00:00:00.000Z,2021-04-12T00:00:00.000Z,2021-04-19T00:00:00.000Z,2021-04-26T00:00:00.000Z,2021-05-03T00:00:00.000Z,2021-05-10T00:00:00.000Z,2021-05-17T00:00:00.000Z,2021-05-24T00:00:00.000Z,2021-05-31T00:00:00.000Z,2021-06-07T00:00:00.000Z,2021-06-14T00:00:00.000Z,2021-06-21T00:00:00.000Z,2021-06-28T00:00:00.000Z,2021-07-05T00:00:00.000Z,2021-07-12T00:00:00.000Z,2021-07-19T00:00:00.000Z,2021-07-26T00:00:00.000Z,2021-08-02T00:00:00.000Z,2021-08-09T00:00:00.000Z,2021-08-16T00:00:00.000Z,2021-08-23T00:00:00.000Z,2021-08-30T00:00:00.000Z,2021-09-06T00:00:00.000Z,2021-09-13T00:00:00.000Z,2021-09-20T00:00:00.000Z,2021-09-27T00:00:00.000Z,2021-10-04T00:00:00.000Z,2021-10-11T00:00:00.000Z,2021-10-18T00:00:00.000Z,2021-10-25T00:00:00.000Z,2021-11-01T00:00:00.000Z,2021-11-08T00:00:00.000Z,2021-11-15T00:00:00.000Z,2021-11-22T00:00:00.000Z,2021-11-29T00:00:00.000Z,2021-12-06T00:00:00.000Z,2021-12-13T00:00:00.000Z,2021-12-20T00:00:00.000Z,2021-12-27T00:00:00.000Z,2022-01-03T00:00:00.000Z,2022-01-10T00:00:00.000Z,2022-01-17T00:00:00.000Z,2022-01-24T00:00:00.000Z,2022-01-31T00:00:00.000Z,2022-02-07T00:00:00.000Z,2022-02-14T00:00:00.000Z,2022-02-21T00:00:00.000Z,2022-02-28T00:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
bert-base-uncased,8395,54081,67168,75904,94015,100257,82019,112381,193863,211679,174764,705142,157951,139035,244559,305173,466603,731220,249429,315968,241153,252187,224489,222719,331242,300336,740983,1177386,968172,355267,968086,348157,271825,412832,1609970,1708719,1293728,1571022,1747428,1563977,1292602,760421,490730,477296,350672,363820,732409,463364,495947,845772,996368,715082,610339,841783,552217,490008,861588,1209161,2737069,2911096,1221682,0,0,0,507769,3782885,3771658,3671413,3593391,526909,0,0,0,323391,886459,891624,2486145,4199354,3630745,3138608,2152651,1712657,1121268,1480230,1398641,1286612,1101003,892388,920185,1392313,1074590,1407879,2442614,1395551,831528,760410,1584083,881096,901080,1244259,1605239,1158308,1455543,1857648,2808168,2311980,2097344,1670038,1464761,1139802,952853,869722,880677,1500304,1282924,1471387,1469940,1134143,1154116,1051834,1119410,324707,1305042,1096132,818662,627396,1065755,1188207,864893,635439,1176288,1673117,1532236,1533026,1280622,1645443,1680818,1170089,1489312,1624011,1335773,1698354,1802422,1779130,2112554,1707132,2085247,1574933,1733483,2288748,2422413,1932941,1781894,1776388,1636276,1921977,1810902,2315688,2009355,1730225,1361614,2371757,2041462,1705002
gpt2,44154,165103,211523,182191,200654,206183,227531,176928,205169,208796,198596,202775,2589007,7534245,1804138,212025,208383,191703,4048364,185616,176507,174522,191879,189124,216462,201233,210644,184960,219097,196378,334173,581747,201219,204836,224238,215198,243987,143537,144772,125314,146127,198263,154737,139628,187213,129062,113168,112711,112580,175151,146132,127074,115741,130922,198966,166397,124259,136478,135174,125282,58185,0,0,0,16469,149189,179076,258208,151587,14679,0,0,0,36558,117757,108871,119250,157923,141919,125272,188558,219039,329679,236140,286404,209514,219222,197981,198757,189873,247608,274941,290224,267055,177702,205053,272336,408042,354904,289247,245824,308621,234038,227788,332753,378799,319290,421970,436424,450749,428773,285488,358512,368361,286934,291450,325742,300165,327631,261927,282196,147366,578407,824260,1368453,1069319,967159,999957,1292404,648558,1150820,1385177,893725,737918,410265,450495,322213,506349,442139,552619,2721016,1489987,14076339,14865922,1002102,1128469,977597,873576,830079,1039724,795625,0,849713,1081461,401137,420269,704199,497870,1032102,342942,300758,633627,465826,328824
distilbert-base-uncased,,,,843,2815,15209,3804,5370,9991,28189,7814,18970,27440,29109,23737,19940,19278,19128,26795,50396,19364,42286,17865,21062,262080,56850,89136,280023,257362,143873,55897,61410,44792,38043,43431,602316,49709,3096091,629373,57501,68960,64562,68436,71403,1116067,69542,465743,69734,284546,69303,94383,79118,92642,386424,79876,119475,68494,61274,98682,746431,333934,0,0,0,32782,107017,274166,130447,99317,10964,0,0,0,27360,135697,172313,176287,123814,224057,291377,204821,626822,469254,366766,340852,346887,310020,342328,303249,360132,526165,471170,695546,323651,215586,230841,621692,289852,935228,977656,1870524,2809282,1280187,1104500,975432,564282,1350281,1911708,1100941,572930,622894,477169,384503,418079,928973,342390,378298,452093,510613,379635,331558,66891,497902,335317,238322,186065,327265,1762845,1305811,240116,637723,708720,412214,386373,497631,424391,433229,409969,355646,391222,385691,396176,337050,456890,504148,492795,412745,339153,451635,540789,460107,458515,785908,508544,441926,446232,489286,406849,425613,165289,358717,612828,484850,469938
cl-tohoku/bert-base-japanese-whole-word-masking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,1229,44047,50204,2698,54520,6637,16441,64741,10716,9122,9619,11796,5883,44007,6458,67375,71042,11293,10016,15257,23424,509777,0,0,0,31317,826079,1002880,979205,789885,176087,0,0,0,32646,804059,875375,1067935,1070907,1055519,917651,999696,839567,1042633,1076660,1062731,1090188,996220,1052849,1176813,1177935,882722,582660,1191870,1279236,1377159,1327772,1389126,1374398,1354818,1322620,1390975,1438010,987474,1427976,1331477,629018,1275450,1378200,1398785,1441482,1482130,970018,1430206,1506938,1564019,1569985,1579396,1369849,2130617,1657243,1441501,2051456,2328411,1877442,1692873,501271,1125170,1475884,1761170,1754009,1734977,1800129,2059659,1561384,1783942,1829891,1753376,1478824,1629824,1838300,1885867,1934401,1691918,644796,1915368,2027378,2074699,1630554,813436,47958,43320,47191,44759,38042,34306,35718,39246,36237,36447,175511,33720,79640,87740,22782
roberta-base,26,1038,16857,8132,17691,17485,12488,24459,20686,34880,31327,28555,34725,39147,104667,21394,22683,28110,20817,24465,15766,18312,51599,23874,26657,38589,45573,27287,30551,39558,45706,49909,46261,59187,46260,45422,41524,42187,55392,57508,84781,87029,89990,53537,78708,102890,62628,81814,100055,80933,50067,118513,67952,70922,103972,60467,122094,1314229,1251098,109538,43614,0,0,0,7410,73859,140936,142716,90347,20120,0,0,0,14926,86513,119689,96748,343346,161992,66178,91914,105516,93895,154444,151690,169076,130852,142090,132323,169489,210850,185743,250232,176897,82671,133594,220651,533486,456395,165736,172613,252492,396669,195167,175809,169099,158905,151546,178991,154343,170422,168321,144651,164127,227893,254050,249731,263239,284317,227572,239053,45838,375677,310090,228281,1067880,651024,262783,265211,213930,322151,390455,335185,353007,868416,848342,869726,889626,906513,841303,1283392,1521545,1491837,1613591,1742088,1599179,826221,614248,424033,504913,473339,0,862311,662188,608756,344909,419855,391710,415126,159438,517971,635543,617896,574906
bert-base-cased,1717,10435,26758,19879,25252,25301,10392,10149,48368,64064,28328,94015,21883,27327,24392,26414,32999,35151,40719,21811,24756,22672,27855,45120,108673,59889,40827,57619,40814,39136,33290,79436,188697,194164,210956,205541,112522,70948,63033,138530,202696,75908,98827,188019,109989,58661,152401,124430,270235,447680,377414,626743,434333,88227,89284,105752,104050,225066,220638,340419,138819,0,0,0,28415,524327,197598,149907,102904,12414,0,0,0,26987,100430,77661,141254,176275,164088,150772,162480,249946,190754,215024,248298,214264,270295,205969,271127,256627,418737,298174,184368,200407,93655,125763,198075,252743,281912,326343,336480,440895,518171,557902,386937,211568,394663,260211,241608,178089,432224,148446,122730,151473,183252,165002,164770,164119,193128,126127,124014,57775,144080,168099,167685,167424,208084,235092,180164,119034,152500,232241,174338,208151,215343,323137,195176,183711,271704,240283,211293,228009,310709,248196,364850,420137,658796,462056,395167,341692,360067,399763,294384,303746,385206,695634,343076,367053,372715,375441,373952,567607,439890,466777
cl-tohoku/bert-base-japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,673,1065,1343,841,1196,2671,5807,6607,711,2354,4870,2435,7634,1955,831,1236,1272,1497,1648,1821,1003,733,0,0,0,219,1683,1457,973,1226,157,0,0,0,338,1209,2206,2656,1784,1988,3583,2247,3009,5126,5985,4482,3499,3899,4857,4527,3424,4262,4408,4894,4579,5462,2498,4633,5170,4972,7304,11001,504228,1228414,8534,2386345,1732527,3636861,4007394,3882297,4162683,4287359,2793339,4119002,4331160,4504757,4527204,4591462,3960472,6242702,4819505,4207420,6064857,6770024,5486358,3599629,949183,2167107,2849437,3429383,3432717,3384433,3270863,3758943,3026288,3473395,3574342,3422155,2881427,3163820,3579058,3689920,3792335,3307732,1226167,3737830,3959249,4039557,3156886,1537253,12974,17167,12329,21064,13676,10865,13587,12536,12222,13221,4989,7987,18510,12251,4545
bert-base-chinese,493,4593,5519,6945,6474,6532,6671,7573,4646,7083,9612,10632,9622,11246,17592,16361,6774,8100,16560,14136,13163,20639,7607,12342,6205,13669,45110,130645,8109,11337,43341,19459,54029,26418,45818,97043,99381,72265,45626,40194,40695,48130,78452,43785,32692,36330,97804,177319,58800,493676,503434,86880,59775,52087,54936,54670,44554,81037,99696,42192,11752,0,0,0,5480,71683,64759,78244,59383,12820,0,0,0,9912,18306,22457,30085,46607,55715,39858,21118,72328,62778,59828,42008,64734,45476,47674,47783,54065,64208,77687,76531,70046,42259,49825,86005,147704,85006,92194,81763,97780,90045,65849,91357,88059,221286,223083,115048,81933,115189,60012,67524,57762,115694,108579,94569,245015,116135,216734,368995,55990,425836,178442,109613,181412,223878,217266,208321,133524,242479,399439,512075,318933,364738,308520,249812,290997,189999,116054,175402,233098,239017,235363,112853,176468,146810,122057,121103,192138,143778,114608,81852,130508,116436,141538,140224,133707,217302,329169,165108,268535,233313,208996
roberta-large,32,2657,17232,5871,12877,38066,6244,9029,18464,23169,34058,24035,27313,29934,29722,55977,125693,31256,27747,26704,16232,44713,65124,28166,15866,338687,298837,127425,111294,36439,38066,45112,36277,30591,20936,46898,24465,31129,20716,33647,48644,39772,69040,17870,26101,35529,56367,86358,62442,45380,43881,41624,97286,104087,100618,98958,96763,61881,103559,76974,17849,0,0,0,2195,52183,55672,103739,40357,7330,0,0,0,7337,161205,123556,179899,144323,67749,49529,65518,244240,148455,105819,41819,98709,87309,127743,131158,179710,132200,126665,205544,151128,43324,53291,146250,117305,109199,186977,358149,1739505,635953,3538820,627846,231574,150024,200109,189783,193773,183918,208589,114223,152496,159667,2025063,3236958,1762849,264526,224113,91640,37208,152174,150962,109684,105207,118520,155954,254088,171204,210370,168328,152035,157176,199770,172699,190788,288146,238794,205675,376992,317982,228302,211406,178939,191071,255920,222627,172543,363114,140455,0,116498,144603,99881,200243,267408,198240,147487,129986,360907,1172390,623419,817239
distilgpt2,,,,,,,,,76,365,885,652,1079,2139,5484,3212,5276,6191,7003,7127,1746,915,1677,2109,5858,2648,4470,7568,9116,5378,4785,4589,4048,7781,19118,25631,15127,13263,17136,14918,13363,8413,12695,19132,15911,16682,25600,41599,25064,78420,24267,21174,25333,29693,37316,22712,22118,14526,26092,26693,8171,0,0,0,1612,11115,9338,7955,6924,1024,0,0,0,2425,21667,8807,9341,16254,18178,11852,10235,10159,11931,9848,16561,11365,13157,16918,12022,11649,12329,32979,11160,10552,6947,9331,16528,40393,25012,13268,12311,13614,12205,27996,12682,15203,10035,11560,11107,13260,14731,17514,25394,20550,12800,11113,12892,18271,24324,15742,29550,5780,107836,16156,48240,89758,221969,429636,743016,411705,754575,1054701,604340,937482,580994,2521271,1007791,1536955,2551157,2512021,1987239,2104491,2145906,2272772,2406240,1673788,772243,1292003,530592,628614,439085,337593,364076,316096,247350,572373,326082,264492,192471,74859,166650,138957,104476,115045
