model,author,model_creation_time,limitation_section_name,limitation_section_content,is_empty,has_limitation_in_content,limitation_section_content_clean
openai-gpt,huggingface,2019-01-08 15:40:22+00:00,risks and limitations,"the model developers also wrote in a blog post about risks and limitations of the model, including:compute requirements: many previous approaches to nlp tasks train relatively small models on a single gpu from scratch. our approach requires an expensive pre-training step - 1 month on 8 gpus. luckily, this only has to be done once and we’re releasing our model so others can avoid it. it is also a large model (in comparison to prior work) and consequently uses more compute and memory — we used a 37-layer (12 block) transformer architecture, and we train on sequences of up to 512 tokens. most experiments were conducted on 4 and 8 gpu systems. the model does fine-tune to new tasks very quickly which helps mitigate the additional resource requirements.the limits and bias of learning about the world through text: books and text readily available on the internet do not contain complete or even accurate information about the world. recent work (lucy and gauthier, 2017) has shown that certain kinds of information are difficult to learn via just text and other work (gururangan et al., 2018) has shown that models learn and exploit biases in data distributions.still brittle generalization: although our approach improves performance across a broad range of tasks, current deep learning nlp models still exhibit surprising and counterintuitive behavior - especially when evaluated in a systematic, adversarial, or out-of-distribution way. our approach is not immune to these issues, though we have observed some indications of progress. our approach shows improved lexical robustness over previous purely neural approaches to textual entailment. on the dataset introduced in glockner et al. (2018) our model achieves 83.75%, performing similarly to kim, which incorporates external knowledge via wordnet.",False,True,model developer write blog post risk limitation model include compute requirement previous approach nlp task train relatively small model single gpu scratch approach require expensive pre training step month gpus luckily release model avoid large model comparison prior work consequently use compute memory use layer block transformer architecture train sequence token experiment conduct gpu system model fine tune new task quickly help mitigate additional resource requirement limit bias learn world text book text readily available internet contain complete accurate information world recent work lucy gauthier certain kind information difficult learn text work gururangan et al model learn exploit bias data distribution brittle generalization approach improve performance broad range task current deep learn nlp model exhibit surprising counterintuitive behavior especially evaluate systematic adversarial distribution way approach immune issue observe indication progress approach improve lexical robustness previous purely neural approach textual entailment dataset introduce glockner et al model achieve perform similarly kim incorporate external knowledge wordnet
gpt2-medium,huggingface,2019-05-08 19:05:02+00:00,"risks, limitations and biases","content warning: readers should be aware this section contains content that is disturbing, offensive, and can propogate historical and current stereotypes.significant research has explored bias and fairness issues with language models (see, e.g., sheng et al. (2021) and bender et al. (2021)).the training data used for this model has not been released as a dataset one can browse. we know it contains a lot of unfiltered content from the internet, which is far from neutral. predictions generated by the model can include disturbing and harmful stereotypes across protected classes; identity characteristics; and sensitive, social, and occupational groups. for example:this bias will also affect all fine-tuned versions of this model. users (both direct and downstream) should be made aware of the risks, biases and limitations of the model.",False,True,content warning reader aware section contain content disturb offensive propogate historical current stereotype significant research explore bias fairness issue language model e g sheng et al bender et al training datum use model release dataset browse know contain lot unfiltered content internet far neutral prediction generate model include disturbing harmful stereotype protect class identity characteristic sensitive social occupational group example bias affect fine tuned version model user direct downstream aware risk bias limitation model
roberta-large-mnli,huggingface,2019-08-05 01:03:17+00:00,"risks, limitations and biases","content warning: readers should be aware this section contains content that is disturbing, offensive, and can propogate historical and current stereotypes.significant research has explored bias and fairness issues with language models (see, e.g., sheng et al. (2021) and bender et al. (2021)). the roberta large model card notes that: ""the training data used for this model contains a lot of unfiltered content from the internet, which is far from neutral.""predictions generated by the model can include disturbing and harmful stereotypes across protected classes; identity characteristics; and sensitive, social, and occupational groups. for example:users (both direct and downstream) should be made aware of the risks, biases and limitations of the model.",False,True,content warning reader aware section contain content disturb offensive propogate historical current stereotype significant research explore bias fairness issue language model e g sheng et al bender et al roberta large model card note training datum use model contain lot unfiltered content internet far neutral prediction generate model include disturbing harmful stereotype protect class identity characteristic sensitive social occupational group example user direct downstream aware risk bias limitation model
gpt2-large,huggingface,2019-08-21 00:28:36+00:00,"risks, limitations and biases","content warning: readers should be aware this section contains content that is disturbing, offensive, and can propogate historical and current stereotypes.significant research has explored bias and fairness issues with language models (see, e.g., sheng et al. (2021) and bender et al. (2021)).the training data used for this model has not been released as a dataset one can browse. we know it contains a lot of unfiltered content from the internet, which is far from neutral. predictions generated by the model can include disturbing and harmful stereotypes across protected classes; identity characteristics; and sensitive, social, and occupational groups. for example:this bias will also affect all fine-tuned versions of this model. users (both direct and downstream) should be made aware of the risks, biases and limitations of the model.",False,True,content warning reader aware section contain content disturb offensive propogate historical current stereotype significant research explore bias fairness issue language model e g sheng et al bender et al training datum use model release dataset browse know contain lot unfiltered content internet far neutral prediction generate model include disturbing harmful stereotype protect class identity characteristic sensitive social occupational group example bias affect fine tuned version model user direct downstream aware risk bias limitation model
distilbert-base-uncased-distilled-squad,huggingface,2019-08-28 12:06:26+00:00,"risks, limitations and biases","content warning: readers should be aware that language generated by this model can be disturbing or offensive to some and can propagate historical and current stereotypes.significant research has explored bias and fairness issues with language models (see, e.g., sheng et al. (2021) and bender et al. (2021)). predictions generated by the model can include disturbing and harmful stereotypes across protected classes; identity characteristics; and sensitive, social, and occupational groups. for example:users (both direct and downstream) should be made aware of the risks, biases and limitations of the model.",False,True,content warning reader aware language generate model disturbing offensive propagate historical current stereotype significant research explore bias fairness issue language model e g sheng et al bender et al prediction generate model include disturbing harmful stereotype protect class identity characteristic sensitive social occupational group example user direct downstream aware risk bias limitation model
ctrl,huggingface,2019-10-09 15:54:29+00:00,"bias, risks, and limitations","significant research has explored bias and fairness issues with language models (see, e.g., sheng et al. (2021) and bender et al. (2021)). predictions generated by the model may include disturbing and harmful stereotypes across protected classes; identity characteristics; and sensitive, social, and occupational groups.in their model card, the developers write:we recognize the potential for misuse or abuse, including use by bad actors who could manipulate the system to act maliciously and generate text to influence decision-making in political, economic, and social settings. false attribution could also harm individuals, organizations, or other entities. to address these concerns, the model was evaluated internally as well as externally by third parties, including the partnership on ai, prior to release.to mitigate potential misuse to the extent possible, we stripped out all detectable training data from undesirable sources. we then redteamed the model and found that negative utterances were often placed in contexts that made them identifiable as such. for example, when using the ‘news’ control code, hate speech could be embedded as part of an apology (e.g. “the politician apologized for saying [insert hateful statement]”), implying that this type of speech was negative. by pre-selecting the available control codes (omitting, for example, instagram and twitter from the available domains), we are able to limit the potential for misuse.in releasing our model, we hope to put it into the hands of researchers and prosocial actors so that they can work to control, understand, and potentially combat the negative consequences of such models. we hope that research into detecting fake news and model-generated content of all kinds will be pushed forward by ctrl. it is our belief that these models should become a common tool so researchers can design methods to guard against malicious use and so the public becomes familiar with their existence and patterns of behavior.see the associated paper for further discussions about the ethics of llms.",False,True,significant research explore bias fairness issue language model e g sheng et al bender et al prediction generate model include disturbing harmful stereotype protect class identity characteristic sensitive social occupational group model card developer write recognize potential misuse abuse include use bad actor manipulate system act maliciously generate text influence decision making political economic social setting false attribution harm individual organization entity address concern model evaluate internally externally party include partnership ai prior release mitigate potential misuse extent possible strip detectable training datum undesirable source redteame model find negative utterance place contexts identifiable example use news control code hate speech embed apology e g politician apologize insert hateful statement imply type speech negative pre select available control code omit example instagram twitter available domain able limit potential misuse release model hope hand researcher prosocial actor work control understand potentially combat negative consequence model hope research detect fake news model generate content kind push forward ctrl belief model common tool researcher design method guard malicious use public familiar existence pattern behavior associated paper discussion ethic llm
gpt2-xl,huggingface,2019-11-05 17:51:20+00:00,risks and limitations,"when they released the 1.5b parameter model, openai wrote in a blog post:gpt-2 can be fine-tuned for misuse. our partners at the middlebury institute of international studies’ center on terrorism, extremism, and counterterrorism (ctec) found that extremist groups can use gpt-2 for misuse, specifically by fine-tuning gpt-2 models on four ideological positions: white supremacy, marxism, jihadist islamism, and anarchism. ctec demonstrated that it’s possible to create models that can generate synthetic propaganda for these ideologies. they also show that, despite having low detection accuracy on synthetic outputs, ml-based detection methods can give experts reasonable suspicion that an actor is generating synthetic text.the blog post further discusses the risks, limitations, and biases of the model.",False,True,release b parameter model openai write blog post gpt fine tune misuse partner middlebury institute international study center terrorism extremism counterterrorism ctec find extremist group use gpt misuse specifically fine tune gpt model ideological position white supremacy marxism jihadist islamism anarchism ctec demonstrate s possible create model generate synthetic propaganda ideology despite low detection accuracy synthetic output ml base detection method expert reasonable suspicion actor generate synthetic text blog post far discuss risk limitation bias model
roberta-base-openai-detector,huggingface,2019-11-06 21:12:27+00:00,"risks, limitations and biases","content warning: readers should be aware this section may contain content that is disturbing, offensive, and can propagate historical and current stereotypes.users (both direct and downstream) should be made aware of the risks, biases and limitations of the model.",False,True,content warning reader aware section contain content disturb offensive propagate historical current stereotype user direct downstream aware risk bias limitation model
roberta-large-openai-detector,huggingface,2019-11-06 21:23:05+00:00,"risks, limitations and biases","content warning: readers should be aware this section may contain content that is disturbing, offensive, and can propagate historical and current stereotypes.users (both direct and downstream) should be made aware of the risks, biases and limitations of the model.",False,True,content warning reader aware section contain content disturb offensive propagate historical current stereotype user direct downstream aware risk bias limitation model
camembert-base,huggingface,2019-11-16 04:17:25+00:00,"risks, limitations and biases","content warning: readers should be aware this section contains content that is disturbing, offensive, and can propagate historical and current stereotypes.significant research has explored bias and fairness issues with language models (see, e.g., sheng et al. (2021) and bender et al. (2021)).this model was pretrinaed on a subcorpus of oscar multilingual corpus. some of the limitations and risks associated with the oscar dataset, which are further detailed in the oscar dataset card, include the following:the quality of some oscar sub-corpora might be lower than expected, specifically for the lowest-resource languages.constructed from common crawl, personal and sensitive information might be present.",False,True,content warning reader aware section contain content disturb offensive propagate historical current stereotype significant research explore bias fairness issue language model e g sheng et al bender et al model pretrinae subcorpus oscar multilingual corpus limitation risk associate oscar dataset far detailed oscar dataset card include follow quality oscar sub corpus low expect specifically low resource language construct common crawl personal sensitive information present
