author,model,model_creation_time,model_count,all_author,limitation_section_content_clean
huggingtweets,huggingtweets/rias_hot,2021-10-17 02:27:34+00:00,2967,"GuillaumeSalouHF, huggingtweets, huggingartists, JdThe65th",model suffer limitation bias gpt addition datum present user tweet far affect text generate model
mbeukman,mbeukman/xlm-roberta-base-finetuned-amharic-finetuned-ner-swahili,2022-02-22 11:04:25+00:00,38,mbeukman,model train relatively small dataset cover task ner domain news article set span time result generalise model perform badly unfair biased way use task purpose project investigate transfer learn performance language model train suffer model use xlm roberta base starting point potentially domain adaptive fine tuning specific language model limitation apply include bias hegemonic viewpoint training datum ungrounded subpar result language possibly unbalanced training datum adelani et al model general struggle entity long word entity contain training datum bias model find e g people word possibly lead misrepresentation result similarly uncommon find training datum e g different language predict additionally model verify practice subtle problem prevalent use verification suppose
luke-thorburn,luke-thorburn/suggest-intermediary-claims-bias-only,2021-12-05 19:45:14+00:00,12,luke-thorburn,model finetune version gpt neo b likely limitation bias additionally note goal model produce coherent valid reasoning generate model output illogical nonsensical rely
LeBenchmark,LeBenchmark/wav2vec2-FR-3K-base,2021-04-11 15:28:43+00:00,10,LeBenchmark,pretraine wav vec model distribute apache license reuse extensively strict limitation benchmark datum link corpora completely open sourced
masakhane,masakhane/m2m100_418M_fon_fr_rel_news,2021-11-12 11:12:54+00:00,8,"Davlan, masakhane",model limit training dataset generalize use case different domain
NimaBoscarino,NimaBoscarino/efficientformer-l7-300,2022-07-18 20:42:32+00:00,4,NimaBoscarino,design efficientformer general purposed e g dimension consistent design d block conv bn fusion actual speed efficientformer vary platform instance gelu support hardswish efficiently implement specific hardware compiler operator need modify accordingly propose latency drive slimming simple fast result achieve search cost concern enumeration base brute search perform model train imagenet k bias embed dataset reflect efficientformer model limitation bias train
aliosm,aliosm/ai-soco-cpp-roberta-small-clas,2020-10-16 19:50:59+00:00,3,aliosm,model limit c programming language
niksmer,niksmer/ManiBERT,2022-02-28 12:01:35+00:00,3,niksmer,model output reproduce limitation dataset term country coverage time span domain definition potential bias annotator supervised machine learning model apply model type datum type text country etc reduce performance
huggingface,gpt2-medium,2019-05-08 19:05:02+00:00,3,"AriakimTaiyo, huggingface",content warning reader aware section contain content disturb offensive propogate historical current stereotype significant research explore bias fairness issue language model e g sheng et al bender et al training datum use model release dataset browse know contain lot unfiltered content internet far neutral prediction generate model include disturbing harmful stereotype protect class identity characteristic sensitive social occupational group example bias affect fine tuned version model user direct downstream aware risk bias limitation model
migueladarlo,migueladarlo/distilbert-depression-base,2022-04-19 06:59:13+00:00,2,migueladarlo,feed corpus tweet model generate label input indicative depressed user label depressed label depressed limitation token sequence long automatically truncate train test datum contaminate mislabeled user
flax-community,flax-community/papuGaPT2,2021-07-02 11:08:00+00:00,2,"dkleczek, flax-community",raw model use text generation fine tuned downstream task model train datum scrape web generate text contain intense violence sexual situation coarse language drug use reflect bias dataset detail limitation likely transfer fine tuned model stage recommend use model research
huggingface,distilbert-base-uncased-distilled-squad,2019-08-28 12:06:26+00:00,2,huggingface,content warning reader aware language generate model disturbing offensive propagate historical current stereotype significant research explore bias fairness issue language model e g sheng et al bender et al prediction generate model include disturbing harmful stereotype protect class identity characteristic sensitive social occupational group example user direct downstream aware risk bias limitation model
huggingface,roberta-base-openai-detector,2019-11-06 21:12:27+00:00,2,huggingface,content warning reader aware section contain content disturb offensive propagate historical current stereotype user direct downstream aware risk bias limitation model
vitouphy,vitouphy/wav2vec2-xls-r-300m-khmer,2022-02-02 03:32:17+00:00,2,vitouphy,datum use model hour recording split training hour hour small performance bad interesting small dataset actually try limitation rare character e g speech need clear articulate datum cover vocabulary character help improve system
projecte-aina,projecte-aina/roberta-base-ca-v2-cased-qa,2022-06-30 07:54:30+00:00,1,projecte-aina,roberta base v cased qa model use extractive question answer model limit training dataset generalize use case
projecte-aina,projecte-aina/roberta-base-ca-v2-cased-te,2022-06-30 07:54:58+00:00,1,projecte-aina,roberta base v cased te model use recognize textual entailment te model limit training dataset generalize use case
Jorgeutd,Jorgeutd/bert-base-uncased-finetuned-surveyclassification,2022-02-24 15:45:02+00:00,1,Jorgeutd,model limit training dataset survey result particular customer service domain generalize use case different domain
mosesju,mosesju/distilbert-base-uncased-finetuned-news,2022-06-14 20:17:00+00:00,1,mosesju,model limit training datum use use model news story fall outside intend category produce confused result
etmckinley,etmckinley/BOTHALTEROUT,2022-06-02 18:32:15+00:00,1,etmckinley,model limitation bias gpt additionally bothalterout create problematic result base tweet use generate model
Galuh,Galuh/id-journal-gpt2,2021-07-31 10:25:55+00:00,1,Galuh,model originally indonesian gpt small model model subject limitation bias original model detailed bias analysis specific model come soon
huggingface,ctrl,2019-10-09 15:54:29+00:00,1,huggingface,significant research explore bias fairness issue language model e g sheng et al bender et al prediction generate model include disturbing harmful stereotype protect class identity characteristic sensitive social occupational group model card developer write recognize potential misuse abuse include use bad actor manipulate system act maliciously generate text influence decision making political economic social setting false attribution harm individual organization entity address concern model evaluate internally externally party include partnership ai prior release mitigate potential misuse extent possible strip detectable training datum undesirable source redteame model find negative utterance place contexts identifiable example use news control code hate speech embed apology e g politician apologize insert hateful statement imply type speech negative pre select available control code omit example instagram twitter available domain able limit potential misuse release model hope hand researcher prosocial actor work control understand potentially combat negative consequence model hope research detect fake news model generate content kind push forward ctrl belief model common tool researcher design method guard malicious use public familiar existence pattern behavior associated paper discussion ethic llm
