Model,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z
bert-base-uncased,122738,1317572,1624858,1163515,1211105,767182,871791,1329225,1584250,1144696,1029359,968576,847247,1078589,1084270,1606404,1008690
gpt2,2643117,14745552,882961,1010685,862341,758080,714766,922504,701644,0,749085,971899,259178,293998,586889,389069,880739
distilbert-base-uncased,18251,351178,394567,316368,283741,278626,383795,425558,359550,357011,654536,328910,293195,362725,426660,354954,344643
distilgpt2,218990,2265291,2398795,1665636,764689,1285148,523512,617194,418825,316244,343844,294688,225265,549539,302786,242442,153427
roberta-base,89430,1140119,1229446,1012923,339961,366700,215505,382774,354955,0,691787,573224,564016,297418,353717,327696,332629
bert-base-cased,28674,157234,244458,335303,576746,338505,266372,261441,311397,359577,251793,242565,275411,261674,297732,323768,306361
distilbert-base-uncased-finetuned-sst-2-english,11784,1527042,1129808,452978,480424,475695,488095,518487,395319,193895,215309,247961,196404,253984,286854,186912,140038
SpanBERT/spanbert-large-cased,283,5528,9492,11766,2119,5391,24041,75542,100503,134496,187629,215131,231577,274959,308672,209234,215565
bert-base-chinese,8640,114406,89798,137616,109993,85305,87981,158391,107415,83764,49060,98383,85418,113424,110368,103306,143629
roberta-large,12144,185519,154350,168091,230231,187264,145624,322867,115409,0,95154,120110,78628,164399,218153,165807,112856
xlm-roberta-large-finetuned-conll03-english,117,1832,58642,53981,131516,122574,137048,211400,138145,0,328453,313194,168432,36407,8821,3223,11582
klue/bert-base,6074,59111,61786,58767,59478,55467,44857,60026,44824,0,54733,58784,59280,66067,65215,57931,49415
cross-encoder/ms-marco-MiniLM-L-12-v2,1502,5454,60365,58000,42129,45545,44345,19968,15730,142684,191874,216410,72743,16871,9876,6843,5690
bert-base-multilingual-cased,8606,102332,113261,100632,162003,83335,63195,79608,124939,449977,132677,180985,174405,122585,70155,57558,80315
