model_name,HF_URL,downloads,has_modelcard,word_cnt,short_model_card(<=300),very_short_model_card(<=100),nonempty_section_num,empty_section_num,creation_year,creation_time
princeton-nlp/sup-simcse-bert-base-uncased,https://huggingface.co/princeton-nlp/sup-simcse-bert-base-uncased,550139,No,,,,,,2021.0,2021-04-21
dmis-lab/biosyn-sapbert-bc5cdr-chemical,https://huggingface.co/dmis-lab/biosyn-sapbert-bc5cdr-chemical,315909,No,,,,,,2021.0,2021-10-24
YituTech/conv-bert-base,https://huggingface.co/YituTech/conv-bert-base,133618,No,,,,,,2021.0,2021-01-21
digit82/kobart-summarization,https://huggingface.co/digit82/kobart-summarization,41212,No,,,,,,2022.0,2022-03-01
EleutherAI/gpt-neox-20b,https://huggingface.co/EleutherAI/gpt-neox-20b,39460,No,,,,,,2022.0,2022-04-07
Luyu/co-condenser-marco,https://huggingface.co/Luyu/co-condenser-marco,22650,No,,,,,,2021.0,2021-08-13
princeton-nlp/sup-simcse-roberta-base,https://huggingface.co/princeton-nlp/sup-simcse-roberta-base,17045,No,,,,,,2021.0,2021-04-21
navervision/KELIP,https://huggingface.co/navervision/KELIP,12101,No,,,,,,2022.0,2022-03-17
logan910/repo_name,https://huggingface.co/logan910/repo_name,11283,No,,,,,,2022.0,2022-08-04
KoboldAI/GPT-Neo-2.7B-Horni,https://huggingface.co/KoboldAI/GPT-Neo-2.7B-Horni,11198,No,,,,,,2021.0,2021-12-30
hyunwoongko/asian-bart-ecjk,https://huggingface.co/hyunwoongko/asian-bart-ecjk,10629,No,,,,,,2021.0,2021-04-01
laxya007/gpt2_bd2_systemanalysis_corpstrategy_ethicalstrategy,https://huggingface.co/laxya007/gpt2_bd2_systemanalysis_corpstrategy_ethicalstrategy,10045,No,,,,,,2022.0,2022-08-29
princeton-nlp/unsup-simcse-roberta-large,https://huggingface.co/princeton-nlp/unsup-simcse-roberta-large,8079,No,,,,,,2021.0,2021-05-12
DeepChem/ChemBERTa-77M-MLM,https://huggingface.co/DeepChem/ChemBERTa-77M-MLM,7278,No,,,,,,2022.0,2022-01-20
uclanlp/visualbert-vqa-coco-pre,https://huggingface.co/uclanlp/visualbert-vqa-coco-pre,6925,No,,,,,,2021.0,2021-05-31
deepset/bert-small-mm_retrieval-question_encoder,https://huggingface.co/deepset/bert-small-mm_retrieval-question_encoder,6759,No,,,,,,2021.0,2021-10-19
solve/vit-zigzag-attribute-768dim-patch16-224,https://huggingface.co/solve/vit-zigzag-attribute-768dim-patch16-224,6278,No,,,,,,2022.0,2022-08-12
KETI-AIR/ke-t5-small,https://huggingface.co/KETI-AIR/ke-t5-small,5647,No,,,,,,2021.0,2021-05-05
Salesforce/bart-large-xsum-samsum,https://huggingface.co/Salesforce/bart-large-xsum-samsum,5469,No,,,,,,2021.0,2021-05-27
KoboldAI/GPT-Neo-2.7B-AID,https://huggingface.co/KoboldAI/GPT-Neo-2.7B-AID,5355,No,,,,,,2022.0,2022-01-18
lysandre/tiny-vit-random,https://huggingface.co/lysandre/tiny-vit-random,4824,No,,,,,,2021.0,2021-05-05
remotejob/tweetsGPT2fi_v0,https://huggingface.co/remotejob/tweetsGPT2fi_v0,3789,No,,,,,,2022.0,2022-03-05
KoboldAI/GPT-J-6B-Adventure,https://huggingface.co/KoboldAI/GPT-J-6B-Adventure,3466,No,,,,,,2021.0,2021-12-24
