model_name,HF_URL,downloads,has_modelcard,word_cnt,short_model_card(<=300),very_short_model_card(<=100),nonempty_section_num,empty_section_num,creation_year,creation_time
lysandre/tiny-vit-random,https://huggingface.co/lysandre/tiny-vit-random,4824,No,,,,,,2021.0,2021-05-05
stanford-crfm/alias-gpt2-small-x21,https://huggingface.co/stanford-crfm/alias-gpt2-small-x21,3896,No,,,,,,2022.0,2022-02-02
ramsrigouthamg/t5_sentence_paraphraser,https://huggingface.co/ramsrigouthamg/t5_sentence_paraphraser,220197,No,,,,,,2021.0,2021-05-15
uclanlp/plbart-python-en_XX,https://huggingface.co/uclanlp/plbart-python-en_XX,2985,No,,,,,,2021.0,2021-10-08
laxya007/gpt2_bd2_systemanalysis_corpstrategy_ethicalstrategy,https://huggingface.co/laxya007/gpt2_bd2_systemanalysis_corpstrategy_ethicalstrategy,10045,No,,,,,,2022.0,2022-08-29
Ayoola/clyde,https://huggingface.co/Ayoola/clyde,2395,No,,,,,,2022.0,2022-08-15
michaelrglass/albert-base-rci-wikisql-row,https://huggingface.co/michaelrglass/albert-base-rci-wikisql-row,1957,No,,,,,,2021.0,2021-06-16
digit82/kobart-summarization,https://huggingface.co/digit82/kobart-summarization,41212,No,,,,,,2022.0,2022-03-01
Salesforce/bart-large-xsum-samsum,https://huggingface.co/Salesforce/bart-large-xsum-samsum,5469,No,,,,,,2021.0,2021-05-27
Harveenchadha/vakyansh-wav2vec2-indian-english-enm-700,https://huggingface.co/Harveenchadha/vakyansh-wav2vec2-indian-english-enm-700,878,No,,,,,,2021.0,2021-08-02
uclanlp/plbart-base,https://huggingface.co/uclanlp/plbart-base,16125,No,,,,,,2021.0,2021-10-06
allenai/ivila-row-layoutlm-finetuned-s2vl-v2,https://huggingface.co/allenai/ivila-row-layoutlm-finetuned-s2vl-v2,2665,No,,,,,,2022.0,2022-07-05
EleutherAI/gpt-neox-20b,https://huggingface.co/EleutherAI/gpt-neox-20b,39460,No,,,,,,2022.0,2022-04-07
solve/vit-zigzag-attribute-768dim-patch16-224,https://huggingface.co/solve/vit-zigzag-attribute-768dim-patch16-224,6278,No,,,,,,2022.0,2022-08-12
elozano/bert-base-cased-news-category,https://huggingface.co/elozano/bert-base-cased-news-category,1450,No,,,,,,2022.0,2022-02-08
nielsr/detr-table-detection,https://huggingface.co/nielsr/detr-table-detection,1406,No,,,,,,2022.0,2022-09-06
