model_name,HF_URL,downloads,has_modelcard,word_cnt,short_model_card(<=300),very_short_model_card(<=100),nonempty_section_num,empty_section_num,creation_year,creation_time
KoboldAI/GPT-Neo-2.7B-Horni-LN,https://huggingface.co/KoboldAI/GPT-Neo-2.7B-Horni-LN,3071,No,,,,,,2021.0,2021-12-30
dmis-lab/biobert-large-cased-v1.1-squad,https://huggingface.co/dmis-lab/biobert-large-cased-v1.1-squad,4044,No,,,,,,2021.0,2021-03-11
peerapongch/baikal-sentiment-ball,https://huggingface.co/peerapongch/baikal-sentiment-ball,8799,No,,,,,,2022.0,2022-04-11
uclanlp/visualbert-vcr,https://huggingface.co/uclanlp/visualbert-vcr,4039,No,,,,,,2021.0,2021-05-31
uclanlp/visualbert-vqa,https://huggingface.co/uclanlp/visualbert-vqa,822,No,,,,,,2021.0,2021-05-31
princeton-nlp/sup-simcse-bert-large-uncased,https://huggingface.co/princeton-nlp/sup-simcse-bert-large-uncased,2392,No,,,,,,2021.0,2021-04-21
Yale-LILY/brio-cnndm-uncased,https://huggingface.co/Yale-LILY/brio-cnndm-uncased,5762,No,,,,,,2022.0,2022-03-30
nielsr/detr-table-detection,https://huggingface.co/nielsr/detr-table-detection,1406,No,,,,,,2022.0,2022-09-06
princeton-nlp/unsup-simcse-bert-large-uncased,https://huggingface.co/princeton-nlp/unsup-simcse-bert-large-uncased,2170,No,,,,,,2021.0,2021-05-12
uclanlp/plbart-java-cs,https://huggingface.co/uclanlp/plbart-java-cs,2683,No,,,,,,2021.0,2021-10-08
jasminejwebb/KeywordIdentifier,https://huggingface.co/jasminejwebb/KeywordIdentifier,1528,No,,,,,,2022.0,2022-02-03
DeepChem/ChemBERTa-77M-MTR,https://huggingface.co/DeepChem/ChemBERTa-77M-MTR,6029,No,,,,,,2022.0,2022-01-20
dmis-lab/biobert-base-cased-v1.2,https://huggingface.co/dmis-lab/biobert-base-cased-v1.2,35303,No,,,,,,2021.0,2021-06-22
mishig/GPT-3,https://huggingface.co/mishig/GPT-3,1276,No,,,,,,2021.0,2021-09-15
michaelrglass/albert-base-rci-wikisql-col,https://huggingface.co/michaelrglass/albert-base-rci-wikisql-col,1900,No,,,,,,2021.0,2021-06-16
ramsrigouthamg/t5_sentence_paraphraser,https://huggingface.co/ramsrigouthamg/t5_sentence_paraphraser,220197,No,,,,,,2021.0,2021-05-15
DeepChem/ChemBERTa-10M-MTR,https://huggingface.co/DeepChem/ChemBERTa-10M-MTR,162816,No,,,,,,2022.0,2022-01-20
Harveenchadha/vakyansh-wav2vec2-indian-english-enm-700,https://huggingface.co/Harveenchadha/vakyansh-wav2vec2-indian-english-enm-700,878,No,,,,,,2021.0,2021-08-02
ibm/qcpg-sentences,https://huggingface.co/ibm/qcpg-sentences,936,No,,,,,,2022.0,2022-05-18
stanford-crfm/alias-gpt2-small-x21,https://huggingface.co/stanford-crfm/alias-gpt2-small-x21,3896,No,,,,,,2022.0,2022-02-02
valhalla/m2m100_tiny_random,https://huggingface.co/valhalla/m2m100_tiny_random,16471,No,,,,,,2021.0,2021-03-05
tanapatentlm/patentdeberta_base_spec_1024_pwi,https://huggingface.co/tanapatentlm/patentdeberta_base_spec_1024_pwi,744,No,,,,,,2022.0,2022-06-17
CompVis/stable-diffusion-safety-checker,https://huggingface.co/CompVis/stable-diffusion-safety-checker,2029339,No,,,,,,2022.0,2022-08-22
imxly/t5-pegasus,https://huggingface.co/imxly/t5-pegasus,1732,No,,,,,,2021.0,2021-03-29
anablasi/qa_financial_v2,https://huggingface.co/anablasi/qa_financial_v2,877,No,,,,,,2022.0,2022-07-05
DataikuNLP/tiny-random-bert,https://huggingface.co/DataikuNLP/tiny-random-bert,909,No,,,,,,2021.0,2021-11-19
Intel/dynamic_tinybert,https://huggingface.co/Intel/dynamic_tinybert,5234,No,,,,,,2021.0,2021-11-22
tmills/cnlpt-negation-roberta-sharpseed,https://huggingface.co/tmills/cnlpt-negation-roberta-sharpseed,762,No,,,,,,2022.0,2022-03-04
dmis-lab/biosyn-sapbert-bc5cdr-disease,https://huggingface.co/dmis-lab/biosyn-sapbert-bc5cdr-disease,323219,No,,,,,,2021.0,2021-10-24
Xenova/sponsorblock-small,https://huggingface.co/Xenova/sponsorblock-small,2802,No,,,,,,2022.0,2022-01-18
