Model,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
srcocotero/bert-large-qa,1595,1492,60,23,1,1048,1
impira/layoutlm-document-qa,89,10,20,362,1283,502,95
antwortemir/shouko04,132,236,825,20,32,2,
valurank/final_headline_generator,45,65,23,33,99,180,77
huggingtweets/donalds28__-dril-kommmipakk,224,217,73,77,212,140,3
ontocord/minidalle,25,80,117,106,126,9,
ontocord/vlt5,25,42,76,106,126,6,
muhtasham/bert-tiny-finetuned-legal-definitions-longer-downstream-alt,,,,,,,
muhtasham/bert-tiny-finetuned-legal-definitions-downstream-alt,3,0,0,0,3,2,
ariesutiono/scibert-lm-v2-finetuned-20,290,139,6,0,0,3,
Go2Heart/BERT_Mod_7_Squad,258,,,,,,
rajkumarrrk/t5-common-gen,54,79,20,180,86,3,
diegopetrola/mDeBERTa-mnli-kaggle-contradictory-my-dear-watson,22,0,0,0,277,,
Blaise-g/longt5_tglobal_large_sumpubmed,2,124,38,16,34,15,
aniketface/DialoGPT-medium-elon,84,193,106,12,13,5,
vishw2703/autotrain-unisumm_3-1228646724,87,255,10,,,,
kkuramitsu/mt5-kogi-regio,112,29,0,8,24,,
Blaise-g/longt5_tglobal_large_scitldr,9,93,34,18,27,19,
alex-apostolo/legal-bert-base-cuad,48,54,46,10,9,137,2
stanford-oval/paraphraser-bart-large,31,33,0,33,107,42,
sacculifer/dimbat_disaster_distilbert,91,1,0,0,64,0,19
huggingtweets/apesahoy-dril-dril9999-dril_gpt2-gptmicrofic-tanakhbot,265,5,0,0,0,1,
paola-md/recipe-distilroberta-Is,6,0,0,1,20,0,2
MayaGalvez/bert-base-multilingual-cased-finetuned-nli,0,14,4,15,1,12,2
aujer/not_interested_v0,126,81,6,10,13,5,
Makabaka/roberta-base-EnglishLawAI_roberta_base_version4,95,9,3,0,0,0,1
sacculifer/dimbat_disaster_type_distilbert,115,11,0,0,5,,
postbot/distilgpt2-emailgen,57,16,10,13,9,8,
tner/roberta-large-conll2003,8,3,3,0,30,93,16
fedihch/InvoiceReceiptClassifier,33,54,5,18,18,10,2
Ammar-alhaj-ali/arabic-MARBERT-sentiment,42,5,30,36,11,47,
202015004/Spoof_detection,92,,,,,,
Lyem/LyemBotv3,36,3,5,3,14,,
Morfeo/8Agos,57,27,20,0,15,,
tner/roberta-large-bc5cdr,4,2,0,0,97,9,5
tner/roberta-large-wnut2017,27,30,0,7,15,19,12
Einmalumdiewelt/BART_large_CNN_GNAD,38,1,1,3,16,0,1
huggingtweets/apesahoy-dril_gpt2-nigella_lawson,112,,,,,,
sutd-ai/albert-base-v2-finetuned-squad,3,,,,,,
arinze/t5_finetuned_xsum_hr,6,27,6,,,,
gaussalgo/mt5-base-priming-QA_en-cs,43,37,5,0,0,2,
vishw2703/unisumm_3,74,9,1,36,20,1,
alex-apostolo/roberta-base-filtered-cuad,53,12,3,0,0,0,4
Einmalumdiewelt/DistilBART_CNN_GNAD,25,2,0,3,7,0,1
embedding-data/distilroberta-base-sentence-transformer,6,6,3,7,11,21,1
hazrulakmal/bert-base-uncased-finetuned,26,12,0,0,0,1,1
gaussalgo/xlm-roberta-large_extractive-QA_en-cs,52,14,5,,,,
gaussalgo/mt5-base-generative-QA_en-cs,51,16,0,0,10,,
huggingtweets/chai_ste,,,,,,,
Einmalumdiewelt/MT5_small_sum-de_GNAD,21,1,1,3,10,1,4
bigscience/bloom-7b1-intermediate,10,44,0,3,1,,
dminiotas05/distilbert-base-uncased-finetuned-ft1500_class,25,21,,,,,
isaacaderogba/tonality,,,,,,,
Vlasta/DNADebertaSentencepiece10k_continuation_continuation,20,,,,,,
bigscience/bloom-560m-intermediate,55,17,4,0,3,,
ctu-aic/xlm-roberta-large-xnli-csfever,12,34,1,11,7,1,
rosicast/wav2vec2-large-xlsr-53-korean-zeroth-char,16,0,0,0,10,,
Gorilla115/t5-shakespearify-lite,22,30,13,6,6,3,2
ultra-coder54732/relation-detection-prop-16-train-set,38,3,0,12,0,2,1
Vlasta/DNADebertaSentencepiece30k_continuation_continuation,18,,,,,,
RayK/distilbert-base-uncased-finetuned-cola,0,0,0,0,48,,
wbbbbb/chinese-speech-rec,35,2,0,0,29,,
Chandanab/vit-base-patch16-224-in21k-finetuned-eurosat,6,36,28,,,,
L-macc/autotrain-Biomedical_sc_summ-1217846148,0,0,15,5,27,15,
SharpAI/mal-tls-t5-l12,48,0,0,0,0,0,1
paola-md/recipistil,56,0,0,3,3,,
