Model,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
viktor-enzell/wav2vec2-large-voxrex-swedish-4gram,,,,,,,,,,255,48,301,145,0,170,186,25098,49583,49239,50121,50044,18826,24221,145,24,17
prithivida/parrot_adequacy_model,,,,,,,,,413,1515,1653,5578,2076,0,2253,1741,2997,5271,6305,3413,4127,1871,3262,6404,9139,1112
facebook/nllb-200-distilled-600M,,,,,,,,,,,,,,,,573,3079,23203,11972,3233,37946,20669,5356,1832,3122,4496
prithivida/parrot_fluency_model,,,,,,,,,317,1280,1443,5272,2006,0,1398,1175,1920,2068,4944,2070,2799,1425,2368,4206,7799,587
KoboldAI/fairseq-dense-13B-Nerys-v2,,,,,,,,,,,,,5247,16114,13983,12219,11551,13427,13121,12139,14416,12971,8228,13798,9222,1125
openclimatefix/nowcasting_cnn_v4,,,,,,,,,,,,,,,,,,942,2290,3522,3436,1230,1949,4522,3490,1140
BM-K/KoSimCSE-roberta-multitask,,,,,,,,,,23,67,111,127,94,156,179,4316,5921,3695,313,224,233,201,224,410,151
philschmid/BERT-Banking77,13,35,387,576,1068,1086,1086,758,423,963,607,334,805,0,638,496,272,561,1025,1077,1043,399,732,635,1085,349
KB/bert-base-swedish-cased-ner,70,246,133,121,440,104,207,223,249,536,644,837,796,716,752,544,639,705,1308,1211,1018,1073,655,699,663,241
bigscience/bloom-560m,,,,,,,,,,,,,,,,,,,,2754,3697,1227,1478,2976,2112,8948
KB/bert-base-swedish-cased,346,764,1303,1057,1032,1178,1441,949,495,613,541,512,492,913,346,1052,108,224,83,74,107,332,1713,335,133,108
bigscience/bloom-1b7,,,,,,,,,,,,,,,,,,,,2178,1662,448,1334,1422,10113,3039
facebook/mgenre-wiki,,,,,,,,,,,61,103,234,124,666,853,1023,929,1033,1019,1053,394,751,1430,1061,331
CompVis/ldm-text2im-large-256,,,,,,,,,,,,,,,,,445,1012,614,757,1005,3049,1684,1166,529,241
M-CLIP/XLM-Roberta-Large-Vit-B-32,,,,,,,,,,21,44,132,365,217,154,683,535,422,605,518,2149,2280,147,432,455,134
aatmasidha/distilbert-base-uncased-finetuned-emotion,,,,,,,,,,,,,,,,105,10224,8444,10335,10886,32443,1586,3450,2008,22,1
Salesforce/codet5-large,,,,,,,,,,,,,,,143,85,145,334,689,192,618,199,278,1343,5440,2208
MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,,,,,,,,,,,308,541,602,384,1025,168,310,527,756,3423,3132,1391,749,997,731,119
bigscience/bloom-7b1,,,,,,,,,,,,,,,,,,,,1687,1886,690,893,1249,777,268
aliosm/sha3bor-metre-detector-arabertv02-base,,,,,,,,6,106,1528,699,1349,44,581,4659,541,5829,1735,250,330,237,601,588,538,437,20
aliosm/sha3bor-footer-51-arabertv02-base,,,,,,,,,102,1577,682,1333,65,617,4665,546,5887,1722,229,282,230,517,526,516,380,24
aliosm/sha3bor-rhyme-detector-arabertv02-base,,,,,,,,3,99,1539,685,1337,39,574,4636,545,5878,1719,263,311,201,557,571,567,389,18
aliosm/sha3bor-poetry-diacritizer-canine-s,,,,,,,,30,102,511,671,1352,59,609,4650,543,5792,1619,206,369,222,592,586,579,433,28
succinctly/text2image-prompt-generator,,,,,,,,,,,,,,,,,163,634,1142,909,863,464,1159,2203,1791,171
naver-clova-ix/donut-base,,,,,,,,,,,,,,,,10,12,763,754,659,866,397,609,1223,1059,373
google/owlvit-base-patch32,,,,,,,,,,,,,,,,,150,379,878,2216,768,399,697,886,470,227
bigscience/bloom-3b,,,,,,,,,,,,,,,,,,,,1295,1268,282,482,953,1018,1387
facebook/nllb-200-distilled-1.3B,,,,,,,,,,,,,,,,80,383,695,667,709,4029,108,400,157,139,70
deepset/deberta-v3-base-squad2,,,,,,,,,,,,,,,,,7,59,801,401,517,2067,5722,1958,1068,386
Team-PIXEL/pixel-base,,,,,,,,82,91,81,119,883,341,1612,1161,221,56,142,131,65,21,86,44,72,205,71
cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,,,,,,,,,,775,1113,1072,760,199,74,122,224,385,304,206,534,162,274,366,188,98
M-CLIP/XLM-Roberta-Large-Vit-L-14,,,,,,,,,,32,130,554,67,78,45,256,364,188,324,339,776,2446,629,348,307,88
d4data/biomedical-ner-all,,,,,,,,,,,,5,50,111,154,171,117,82,198,235,165,207,427,1003,3193,107
IDEA-CCNL/Taiyi-CLIP-Roberta-large-326M-Chinese,,,,,,,,,,,,,,,,,140,176,253,237,528,482,498,578,1065,377
pszemraj/long-t5-tglobal-base-16384-book-summary,,,,,,,,,,,,,,,400,307,375,387,273,240,264,146,399,1477,265,47
Stancld/longt5-tglobal-large-16384-pubmed-3k_steps,,,,,,,,,,,8,332,251,140,127,115,337,338,347,67,273,383,164,199,259,88
TencentGameMate/chinese-wav2vec2-base,,,,,,,,,,181,314,224,318,296,95,103,511,202,184,64,79,126,69,121,217,37
megagonlabs/electra-base-japanese-discriminator,,,,,,,,,,21,4,7,24,0,19,506,1208,3,5,114,1107,298,1,6,43,5
Langboat/mengzi-t5-base-mt,,,,,,,,,,,,,,,,,,19,108,152,228,601,352,304,6444,241
IDEA-CCNL/Taiyi-CLIP-Roberta-102M-Chinese,,,,,,,,,,,,,,,,29,51,72,350,728,403,576,199,506,387,108
naver-clova-ix/donut-base-finetuned-cord-v2,,,,,,,,,,,,,,,,,68,158,208,388,587,225,355,477,381,168
EleutherAI/enformer-official-rough,,,,,,,,,,16,72,134,500,505,106,69,173,248,232,308,80,390,61,755,1002,72
IDEA-CCNL/Wenzhong-GPT2-110M,,,,,,,,,190,59,115,35,140,255,144,114,158,407,257,1448,675,901,82,125,27,5
srcocotero/bert-large-qa,,,,,,,,,,,,,,,,,,,,1595,1492,60,23,1,1048,11
M-CLIP/XLM-Roberta-Large-Vit-B-16Plus,,,,,,,,,,21,3,47,399,382,265,14,892,141,128,472,1212,257,553,366,258,104
Laggrif/DialoGPT-medium-Luke,,,,,,,,,,,,,102,55,945,273,177,0,230,529,300,1150,1310,56,10,1
naver-clova-ix/donut-base-finetuned-docvqa,,,,,,,,,,,,,,,,5,59,618,266,321,352,167,179,443,272,173
hf-internal-testing/tiny-vilt-random-vqa,,,,,,,,,,13,19,433,567,0,469,395,510,444,681,644,163,56,132,203,203,66
bigscience/bloom-1b1,,,,,,,,,,,,,,,,,,,,774,681,197,446,484,139,137
huggingtweets/arstechnica,,,,,,,,,,,,,7,0,0,0,0,212,1256,603,509,138,225,564,245,28
impira/layoutlm-document-qa,,,,,,,,,,,,,,,,,,,,89,10,20,362,1283,502,241
google/ddpm-celebahq-256,,,,,,,,,,,,,,,,,69,147,55,81,113,273,327,548,323,86
yanekyuk/bert-uncased-keyword-extractor,,,,,,,,,,2,47,65,46,0,99,40,17,22,26,29,1692,417,343,509,516,125
TencentGameMate/chinese-wav2vec2-large,,,,,,,,,,100,122,254,31,167,26,239,116,72,57,166,443,483,303,142,52,16
IDEA-CCNL/Wenzhong2.0-GPT2-3.5B-chinese,,,,,,,,,,,,,,,134,177,97,223,182,639,1295,325,405,247,176,59
microsoft/layoutlmv3-base-chinese,,,,,,,,,,,,105,140,0,174,75,154,178,135,244,164,103,139,180,88,116
