Model,2021-08-30T00:00:00.000Z,2021-09-06T00:00:00.000Z,2021-09-13T00:00:00.000Z,2021-09-20T00:00:00.000Z,2021-09-27T00:00:00.000Z,2021-10-04T00:00:00.000Z,2021-10-11T00:00:00.000Z,2021-10-18T00:00:00.000Z,2021-10-25T00:00:00.000Z,2021-11-01T00:00:00.000Z,2021-11-08T00:00:00.000Z,2021-11-15T00:00:00.000Z,2021-11-22T00:00:00.000Z,2021-11-29T00:00:00.000Z,2021-12-06T00:00:00.000Z,2021-12-13T00:00:00.000Z,2021-12-20T00:00:00.000Z,2021-12-27T00:00:00.000Z,2022-01-03T00:00:00.000Z,2022-01-10T00:00:00.000Z,2022-01-17T00:00:00.000Z,2022-01-24T00:00:00.000Z,2022-01-31T00:00:00.000Z,2022-02-07T00:00:00.000Z,2022-02-14T00:00:00.000Z,2022-02-21T00:00:00.000Z,2022-02-28T00:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z
sentence-transformers/all-MiniLM-L6-v2,125,583,2005,20276,16822,24066,138684,52581,618613,1528165,87571,134396,182277,1294,102884,89653,66086,729679,128293,230615,123640,98940,916117,792727,208936,327622,439953,344973,441835,716790,470255,395135,799560,843219,629631,222797,408109,438076,419796,443739,387578,676707,420980,0,444274,514430,433725,447176,463864,1024762,1338218,583825,311146
sentence-transformers/all-mpnet-base-v2,281,1053,1403,3104,11994,37892,28697,18064,36636,67053,20783,43181,67407,630,51977,25051,36930,36199,182843,79854,100329,20593,68062,60852,162479,99632,135105,96223,95226,77192,110363,115173,92879,119793,198425,108335,178484,124129,175085,139526,94044,231055,182989,0,85058,153759,392324,284994,85245,281344,159160,38655,25069
sentence-transformers/all-MiniLM-L12-v2,176,208,373,305,971,1271,5713,8676,9078,5721,8914,6163,9501,9,32564,3683,37352,3435,5225,10358,5469,2534,6741,8190,7751,20911,8804,21353,14080,82104,23364,12709,50444,38788,193550,167814,63437,43997,45789,66328,70881,117595,105543,0,431400,143315,163694,141998,131981,133495,132782,52411,43254
EleutherAI/gpt-j-6B,2269,2410,1848,2590,6116,3075,3046,5233,6147,7781,8966,24280,5343,18,5186,11939,7299,3905,12916,38359,36459,16613,49385,72810,33018,52188,55350,50001,45102,27324,34606,30650,26053,24740,13678,9282,10814,87193,213186,208075,208008,240324,236182,209764,209527,221092,216722,218540,219734,220684,210930,226903,74059
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,63,116,328,213,951,1738,878,6195,4730,1363,2354,1805,7379,15,3315,2295,12866,9281,394636,1127516,1243367,135995,3654514,463051,3386454,22790,25348,34217,22787,11942,8674,7549,9427,9910,11129,62774,15360,75049,34547,17295,26660,23042,18652,0,21449,26982,44721,67196,36970,35229,30807,13672,12197
sentence-transformers/all-distilroberta-v1,63,163,320,312,460,3836,1890,1971,1076,1094,1946,1475,5069,27,2985,3601,6842,3594,4098,5611,2422,1981,9162,18000,6034,6059,6770,24074,74189,62581,28557,55302,75520,162076,141265,40068,24298,29256,535531,74480,16143,48927,50720,0,17068,15704,19802,24222,25592,16021,12406,3642,4270
yiyanghkust/finbert-tone,541,569,574,919,498,1777,7249,974,8917,16031,11496,718,2546,5,1133582,3410,3133,3002,3461,16293,22752,8715,20289,31269,21523,16563,17430,19347,16921,14854,17254,19332,17756,18116,37050,37388,39459,34624,35529,33303,28671,41653,62219,0,42578,63351,75455,30934,11638,2287,16110,88885,1961
microsoft/deberta-v3-large,,,,,,,,273,4837,2219,363,2351,17174,59,3348,1096,6183,4306,8892,2198,738,243,4647,9335,2045,4187,6323,5075,5667,11995,12692,12512,46883,35046,58870,52050,34867,32109,30611,30885,26905,37003,15482,0,16714,19409,15430,17913,18786,24100,25121,7189,3278
sentence-transformers/multi-qa-mpnet-base-dot-v1,67,107,113,129,304,1495,1895,646,888,420,469,837,2833,5,1417,2567,2280,2515,5439,2420,1686,1031,1491,138908,311203,128589,6780,4521,4990,3506,4051,5007,5545,8979,5581,4882,8169,15582,24133,10073,7177,25327,18370,0,46437,89596,133225,154739,162294,153427,148802,69210,57160
microsoft/deberta-v3-base,,,,,,,,88,64,182,2844,486,734,12,5104,3933,1673,3132,3835,4967,4072,1797,5164,6111,7390,7698,8499,9466,7477,8860,13399,15889,12462,11116,11548,14592,14977,20451,26053,23640,20334,71023,21984,0,19367,24776,16585,20368,16630,18882,15321,4938,5133
