,model_name
10385,Helsinki-NLP/opus-mt-fr-gil
16706,Helsinki-NLP/opus-mt-fr-iso
2768,Helsinki-NLP/opus-mt-st-fi
16636,Helsinki-NLP/opus-mt-pap-fi
14772,Helsinki-NLP/opus-mt-sv-ht
10411,Helsinki-NLP/opus-mt-fi-tw
17237,Helsinki-NLP/opus-mt-kqn-fr
24095,Helsinki-NLP/opus-mt-pis-fi
10470,Helsinki-NLP/opus-mt-fj-fr
24067,Helsinki-NLP/opus-mt-gaa-fi
21570,Helsinki-NLP/opus-mt-pl-sv
14778,Helsinki-NLP/opus-mt-sv-et
16621,Helsinki-NLP/opus-mt-mt-fr
24146,Helsinki-NLP/opus-mt-fi-af
10352,Helsinki-NLP/opus-mt-de-bcl
27058,Helsinki-NLP/opus-mt-eo-de
10259,Helsinki-NLP/opus-mt-es-to
16627,Helsinki-NLP/opus-mt-is-sv
10286,Helsinki-NLP/opus-mt-pl-en
10303,Helsinki-NLP/opus-mt-chk-es
19271,Helsinki-NLP/opus-mt-sv-ha
4348,Helsinki-NLP/opus-mt-fr-tiv
24169,Helsinki-NLP/opus-mt-guw-de
14811,Helsinki-NLP/opus-mt-es-crs
5749,Helsinki-NLP/opus-mt-de-ig
10326,Helsinki-NLP/opus-mt-en-gaa
10327,Helsinki-NLP/opus-mt-de-bi
2767,Helsinki-NLP/opus-mt-es-zai
4333,Helsinki-NLP/opus-mt-fr-efi
27960,Helsinki-NLP/opus-mt-sv-hr
18546,Helsinki-NLP/opus-mt-fse-fi
14809,Helsinki-NLP/opus-mt-ka-en
8994,Helsinki-NLP/opus-mt-fi-lv
15363,Helsinki-NLP/opus-mt-en-gv
29705,Helsinki-NLP/opus-mt-loz-de
26662,Helsinki-NLP/opus-mt-ko-es
27277,Helsinki-NLP/opus-mt-en-gil
16387,Helsinki-NLP/opus-mt-en-uk
29331,Helsinki-NLP/opus-mt-de-bzs
16035,Helsinki-NLP/opus-mt-fi-id
5058,Helsinki-NLP/opus-mt-en-tvl
16017,Helsinki-NLP/opus-mt-fr-ase
7302,Helsinki-NLP/opus-mt-sv-hu
7308,Helsinki-NLP/opus-mt-en-it
18086,Helsinki-NLP/opus-mt-fi-mt
26151,Helsinki-NLP/opus-mt-fr-tll
16394,Helsinki-NLP/opus-mt-es-ny
7355,Helsinki-NLP/opus-mt-fr-lg
6371,Helsinki-NLP/opus-mt-sv-sg
7361,Helsinki-NLP/opus-mt-sv-mos
16039,Helsinki-NLP/opus-mt-es-fj
26202,Helsinki-NLP/opus-mt-ru-fi
26206,Helsinki-NLP/opus-mt-ilo-en
20746,Helsinki-NLP/opus-mt-lua-fr
7134,Helsinki-NLP/opus-mt-mk-es
16094,Helsinki-NLP/opus-mt-pap-de
16900,Helsinki-NLP/opus-mt-gaa-sv
26241,Helsinki-NLP/opus-mt-de-pon
29296,Helsinki-NLP/opus-mt-sl-fr
7168,Helsinki-NLP/opus-mt-bi-es
26232,Helsinki-NLP/opus-mt-fr-ty
26140,Helsinki-NLP/opus-mt-pis-en
7184,Helsinki-NLP/opus-mt-fr-ha
16078,Helsinki-NLP/opus-mt-de-pl
7210,Helsinki-NLP/opus-mt-bi-en
5113,Helsinki-NLP/opus-mt-efi-de
29316,Helsinki-NLP/opus-mt-es-tpi
26215,Helsinki-NLP/opus-mt-en-ty
18071,Helsinki-NLP/opus-mt-cy-en
7220,Helsinki-NLP/opus-mt-srn-fr
2285,Helsinki-NLP/opus-mt-st-sv
5042,Helsinki-NLP/opus-mt-mfs-es
2572,Helsinki-NLP/opus-mt-en-kj
6333,Helsinki-NLP/opus-mt-en-st
5007,Helsinki-NLP/opus-mt-fi-bzs
27534,Helsinki-NLP/opus-mt-ceb-fr
20814,Helsinki-NLP/opus-mt-pl-de
29399,Helsinki-NLP/opus-mt-hr-sv
20818,Helsinki-NLP/opus-mt-lua-en
